<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
is             | algemeen       | 1.06938296085e-05-> 9.999893e-01   | 
algemeen       | geweten        | 7.57923044148e-06-> 9.999924e-01   | 
geweten        | dat            | 0.00597096094862-> 9.940468e-01   | 
dat            | echte          | 2.24346586037e-05-> 9.999776e-01   | 
echte          | <UNK>          | 0.0143722677603-> 9.857305e-01   | 
<UNK>          | gaan           | 0.000357117358362-> 9.996430e-01   | 
gaan           | werken         | 0.000116557144793-> 9.998835e-01   | 
werken         | om             | 0.00303322146647-> 9.969714e-01   | 
om             | wat            | 0.00100784585811-> 9.989927e-01   | 
wat            | ontspanning    | 7.87160752225e-06-> 9.999921e-01   | 
ontspanning    | te             | 0.00682843616232-> 9.931948e-01   | 
te             | vinden         | 0.000100807912531-> 9.998992e-01   | 
vinden         | </s>           | 0.00879955757409-> 9.912391e-01   | 
</s>           | <s>            | 0.4994995296   -> 6.068343e-01   | 
<s>            | en             | 0.00550170941278-> 9.945134e-01   | 
en             | de             | 0.0439833514392-> 9.569699e-01   | 
de             | befaamde       | 1.37766637636e-05-> 9.999862e-01   | 
befaamde       | auteur         | 2.22479575314e-05-> 9.999778e-01   | 
auteur         | P              | 1.18122698041e-05-> 9.999882e-01   | 
P              | G              | 2.26400679821e-05-> 9.999774e-01   | 
G              | <UNK>          | 0.0141065577045-> 9.859925e-01   | 
<UNK>          | schreef        | 2.10146063182e-05-> 9.999790e-01   | 
schreef        | ooit           | 4.65940029244e-05-> 9.999534e-01   | 
ooit           | </s>           | 0.00814839266241-> 9.918847e-01   | 
</s>           | <s>            | 0.49951839447  -> 6.068228e-01   | 
<s>            | hij            | 0.00856432318687-> 9.914722e-01   | 
hij            | genoot         | 7.07499475538e-06-> 9.999929e-01   | 
genoot         | van            | 0.0228268671781-> 9.774317e-01   | 
van            | een            | 0.0114547330886-> 9.886106e-01   | 
een            | volmaakte      | 9.71196914179e-06-> 9.999903e-01   | 
volmaakte      | rust           | 3.38228310284e-05-> 9.999662e-01   | 
rust           | zoals          | 0.000463368633064-> 9.995368e-01   | 
zoals          | die            | 0.00340093439445-> 9.966049e-01   | 
die            | alleen         | 0.000750185514335-> 9.992501e-01   | 
alleen         | voorkomt       | 9.5459381555e-06-> 9.999905e-01   | 
voorkomt       | bij            | 0.00131248682737-> 9.986884e-01   | 
bij            | mensen         | 0.000138598057674-> 9.998614e-01   | 
mensen         | die            | 0.00345477298833-> 9.965512e-01   | 
die            | net            | 0.000122562036267-> 9.998775e-01   | 
net            | het            | 0.00235198927112-> 9.976508e-01   | 
het            | golf           | 6.73978283885e-05-> 9.999326e-01   | 
golf           | hebben         | 0.00104312656913-> 9.989574e-01   | 
hebben         | opgegeven      | 1.08913027361e-05-> 9.999891e-01   | 
opgegeven      | </s>           | 0.00826385989785-> 9.917702e-01   | 
</s>           | <s>            | 0.499517798424 -> 6.068232e-01   | 
<s>            | in             | 0.0105847110972-> 9.894711e-01   | 
in             | dat            | 0.00794095918536-> 9.920905e-01   | 
dat            | stadium        | 8.46023613121e-06-> 9.999915e-01   | 
stadium        | was            | 0.00300055812113-> 9.970039e-01   | 
was            | <UNK>          | 0.0134258810431-> 9.866638e-01   | 
<UNK>          | dus            | 0.000526244170032-> 9.994739e-01   | 
dus            | niet           | 0.00380068598315-> 9.962065e-01   | 
niet           | </s>           | 0.00771574536338-> 9.923139e-01   | 
</s>           | <s>            | 0.499508619308 -> 6.068287e-01   | 
<s>            | een            | 0.0127262575552-> 9.873544e-01   | 
een            | lucide         | 1.12419511424e-05-> 9.999887e-01   | 
lucide         | Britse         | 4.63520955236e-05-> 9.999536e-01   | 
Britse         | verslaggever   | 9.60947363637e-06-> 9.999904e-01   | 
verslaggever   | beweerde       | 6.8768958954e-06-> 9.999931e-01   | 
beweerde       | dat            | 0.00593989016488-> 9.940777e-01   | 
dat            | de             | 0.0736677497625-> 9.289803e-01   | 
de             | Spanjaard      | 2.3255845008e-05-> 9.999768e-01   | 
Spanjaard      | het            | 0.002290538745 -> 9.977121e-01   | 
het            | slachtoffer    | 2.6549481845e-05-> 9.999735e-01   | 
slachtoffer    | was            | 0.00284820212983-> 9.971558e-01   | 
was            | geworden       | 2.64369355136e-05-> 9.999735e-01   | 
geworden       | van            | 0.0300020873547-> 9.704435e-01   | 
van            | zijn           | 0.00811162404716-> 9.919212e-01   | 
zijn           | eigen          | 0.00036205718061-> 9.996380e-01   | 
eigen          | rijkdom        | 9.62824651651e-06-> 9.999903e-01   | 
rijkdom        | </s>           | 0.00831011682749-> 9.917243e-01   | 
</s>           | <s>            | 0.499514520168 -> 6.068252e-01   | 
<s>            | want           | 0.000547057949007-> 9.994531e-01   | 
want           | had            | 0.00160229997709-> 9.983990e-01   | 
had            | hij            | 0.00324694206938-> 9.967583e-01   | 
hij            | zoals          | 0.000472446874483-> 9.995277e-01   | 
zoals          | ik             | 0.00181187700946-> 9.981897e-01   | 
ik             | in             | 0.00861578434706-> 9.914212e-01   | 
in             | een            | 0.0124330874532-> 9.876439e-01   | 
een            | van            | 0.0104954754934-> 9.895594e-01   | 
van            | de             | 0.0652658194304-> 9.368184e-01   | 
de             | goedkope       | 1.22348537843e-05-> 9.999878e-01   | 
goedkope       | <UNK>          | 0.0129063446075-> 9.871766e-01   | 
<UNK>          | rond           | 8.35099635879e-05-> 9.999165e-01   | 
rond           | </s>           | 0.00821107532829-> 9.918225e-01   | 
</s>           | <s>            | 0.499501258135 -> 6.068332e-01   | 
<s>            | <UNK>          | 0.0165930781513-> 9.835438e-01   | 
<UNK>          | moeten         | 0.000715760863386-> 9.992845e-01   | 
moeten         | logeren        | 6.22629522695e-06-> 9.999938e-01   | 
logeren        | dan            | 0.00300922221504-> 9.969953e-01   | 
dan            | had            | 0.00179703580216-> 9.982046e-01   | 
had            | de             | 0.066974401474 -> 9.352192e-01   | 
de             | muur           | 2.61494078586e-05-> 9.999738e-01   | 
muur           | omver          | 1.27012754092e-05-> 9.999873e-01   | 
omver          | gelegen        | 1.14425638458e-05-> 9.999886e-01   | 
gelegen        | en             | 0.00688266102225-> 9.931410e-01   | 
en             | had            | 0.0015293143224-> 9.984719e-01   | 
had            | zijn           | 0.00786431226879-> 9.921665e-01   | 
zijn           | hand           | 5.92593169131e-05-> 9.999408e-01   | 
hand           | hooguit        | 6.66449250275e-06-> 9.999933e-01   | 
hooguit        | een            | 0.0106821358204-> 9.893747e-01   | 
een            | <UNK>          | 0.0180463399738-> 9.821155e-01   | 
<UNK>          | vertoond       | 5.91316802456e-06-> 9.999941e-01   | 
vertoond       | </s>           | 0.00809606537223-> 9.919366e-01   | 
</s>           | <s>            | 0.49949362874  -> 6.068379e-01   | 
<s>            | Spaanse        | 3.45430707966e-05-> 9.999654e-01   | 
Spaanse        | reporters      | 1.84542204806e-05-> 9.999815e-01   | 
reporters      | schreven       | 1.78068949026e-05-> 9.999822e-01   | 
schreven       | opgelucht      | 1.83098018169e-05-> 9.999817e-01   | 
opgelucht      | dat            | 0.00607056729496-> 9.939478e-01   | 
dat            | <UNK>          | 0.013596191071 -> 9.864958e-01   | 
<UNK>          | nu             | 0.000716713839211-> 9.992836e-01   | 
nu             | eindelijk      | 1.52256034198e-05-> 9.999848e-01   | 
eindelijk      | eens           | 0.000243829752435-> 9.997562e-01   | 
eens           | over           | 0.00286464067176-> 9.971395e-01   | 
over           | een            | 0.011842652224 -> 9.882272e-01   | 
een            | ander          | 3.16464356729e-05-> 9.999683e-01   | 
ander          | <UNK>          | 0.0130167612806-> 9.870676e-01   | 
<UNK>          | kon            | 0.00040306232404-> 9.995970e-01   | 
kon            | klagen         | 8.24666676635e-06-> 9.999918e-01   | 
klagen         | dan            | 0.00307335448451-> 9.969314e-01   | 
dan            | over           | 0.0029002125375-> 9.971040e-01   | 
over           | zijn           | 0.00828829221427-> 9.917459e-01   | 
zijn           | voet           | 2.42647220148e-05-> 9.999757e-01   | 
voet           | waarmee        | 3.10706163873e-05-> 9.999689e-01   | 
waarmee        | hij            | 0.00266873114742-> 9.973348e-01   | 
hij            | jaren          | 0.000649590860121-> 9.993506e-01   | 
jaren          | op             | 0.00482705654576-> 9.951846e-01   | 
op             | de             | 0.0758383348584-> 9.269661e-01   | 
de             | sukkel         | 1.37767337947e-05-> 9.999862e-01   | 
sukkel         | was            | 0.00276608229615-> 9.972377e-01   | 
was            | </s>           | 0.0087062343955-> 9.913316e-01   | 
</s>           | <s>            | 0.499494701624 -> 6.068372e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | heeft          | 0.00137099821586-> 9.986299e-01   | 
heeft          | trouwens       | 1.91162798728e-05-> 9.999809e-01   | 
trouwens       | minder         | 0.000227921904298-> 9.997721e-01   | 
minder         | redenen        | 9.86191480479e-06-> 9.999902e-01   | 
redenen        | tot            | 0.0021316553466-> 9.978706e-01   | 
tot            | klagen         | 8.41446490085e-06-> 9.999916e-01   | 
klagen         | dan            | 0.00306684942916-> 9.969379e-01   | 
dan            | de             | 0.0645627975464-> 9.374772e-01   | 
de             | meesten        | 1.04200080386e-05-> 9.999896e-01   | 
meesten        | van            | 0.0362164564431-> 9.644315e-01   | 
van            | ons            | 0.000463584176032-> 9.995365e-01   | 
ons            | want           | 0.000528773583937-> 9.994714e-01   | 
want           | hij            | 0.00280932104215-> 9.971946e-01   | 
hij            | won            | 5.56283266633e-05-> 9.999444e-01   | 
won            | in             | 0.00956337247044-> 9.904822e-01   | 
in             | de             | 0.0753206238151-> 9.274461e-01   | 
de             | lente          | 1.57517879416e-05-> 9.999843e-01   | 
lente          | van            | 0.0357752926648-> 9.648571e-01   | 
van            | dit            | 0.000791959057096-> 9.992083e-01   | 
dit            | jaar           | 0.00128562981263-> 9.987152e-01   | 
jaar           | de             | 0.063197389245 -> 9.387581e-01   | 
de             | Masters        | 6.0189562646e-05-> 9.999398e-01   | 
Masters        | op             | 0.00459110876545-> 9.954194e-01   | 
op             | <UNK>          | 0.0129183037207-> 9.871648e-01   | 
<UNK>          | </s>           | 0.00803462322801-> 9.919975e-01   | 
</s>           | <s>            | 0.499504119158 -> 6.068315e-01   | 
<s>            | wat            | 0.00119538221043-> 9.988053e-01   | 
wat            | John           | 2.29402721743e-05-> 9.999771e-01   | 
John           | </s>           | 0.00677985325456-> 9.932431e-01   | 
</s>           | <s>            | 0.499145120382 -> 6.070494e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | op             | 0.00457483762875-> 9.954356e-01   | 
op             | dat            | 0.00754962256178-> 9.924788e-01   | 
dat            | moment         | 5.195536869e-05-> 9.999480e-01   | 
moment         | onbewust       | 6.1485770857e-06-> 9.999939e-01   | 
onbewust       | van            | 0.0285973213613-> 9.718077e-01   | 
van            | het            | 0.00252318545245-> 9.974800e-01   | 
het            | bestaan        | 2.55212871707e-05-> 9.999745e-01   | 
bestaan        | van            | 0.0338407978415-> 9.667254e-01   | 
van            | het            | 0.00250254245475-> 9.975006e-01   | 
het            | woord          | 5.58284118597e-05-> 9.999442e-01   | 
woord          | <UNK>          | 0.0134066939354-> 9.866828e-01   | 
<UNK>          | deed           | 4.68187063234e-05-> 9.999532e-01   | 
deed           | opmerken       | 7.87621956988e-06-> 9.999921e-01   | 
opmerken       | </s>           | 0.00824809633195-> 9.917858e-01   | 
</s>           | <s>            | 0.499522417784 -> 6.068204e-01   | 
<s>            | mocht          | 3.87857980968e-05-> 9.999612e-01   | 
mocht          | ik             | 0.00275528244674-> 9.972485e-01   | 
ik             | de             | 0.0566938221455-> 9.448833e-01   | 
de             | Masters        | 6.01759675192e-05-> 9.999398e-01   | 
Masters        | gewonnen       | 2.12710292544e-05-> 9.999787e-01   | 
gewonnen       | hebben         | 0.00103386095725-> 9.989667e-01   | 
hebben         | ik             | 0.00171654485166-> 9.982849e-01   | 
ik             | sloeg          | 1.38289742608e-05-> 9.999862e-01   | 
sloeg          | de             | 0.0619605742395-> 9.399199e-01   | 
de             | rest           | 1.61626558111e-05-> 9.999838e-01   | 
rest           | van            | 0.0339286550879-> 9.666405e-01   | 
van            | het            | 0.00248449202627-> 9.975186e-01   | 
het            | jaar           | 0.000883852073457-> 9.991165e-01   | 
jaar           | op             | 0.00483473436907-> 9.951769e-01   | 
op             | geen           | 0.00206714658998-> 9.979350e-01   | 
geen           | enkele         | 0.000212376413401-> 9.997876e-01   | 
enkele         | muur           | 1.89321435755e-05-> 9.999810e-01   | 
muur           | </s>           | 0.00826531276107-> 9.917688e-01   | 
</s>           | <s>            | 0.499513506889 -> 6.068258e-01   | 
<s>            | het            | 0.00598850753158-> 9.940294e-01   | 
het            | slaan          | 2.89052368316e-05-> 9.999711e-01   | 
slaan          | op             | 0.00440924568102-> 9.956005e-01   | 
op             | muren          | 7.56296958571e-06-> 9.999924e-01   | 
muren          | zou            | 0.000872349948622-> 9.991280e-01   | 
zou            | moeten         | 0.000759570335504-> 9.992407e-01   | 
moeten         | worden         | 0.00140116771217-> 9.985998e-01   | 
worden         | voorbehouden   | 1.15233424367e-05-> 9.999885e-01   | 
voorbehouden   | aan            | 0.00226689130068-> 9.977357e-01   | 
aan            | mensen         | 0.000131411885377-> 9.998686e-01   | 
mensen         | die            | 0.00347376149148-> 9.965323e-01   | 
die            | de             | 0.0583892092109-> 9.432827e-01   | 
de             | Masters        | 6.02041909588e-05-> 9.999398e-01   | 
Masters        | nog            | 0.00276053417474-> 9.972433e-01   | 
nog            | niet           | 0.0036422892008-> 9.963644e-01   | 
niet           | gewonnen       | 2.12150516745e-05-> 9.999788e-01   | 
gewonnen       | hebben         | 0.00106659752782-> 9.989340e-01   | 
hebben         | </s>           | 0.00827568769455-> 9.917585e-01   | 
</s>           | <s>            | 0.499517858028 -> 6.068231e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | wist           | 1.68550941453e-05-> 9.999831e-01   | 
wist           | waarover       | 1.17549525385e-05-> 9.999883e-01   | 
waarover       | hij            | 0.0028452728875-> 9.971588e-01   | 
hij            | sprak          | 2.76430691883e-05-> 9.999723e-01   | 
sprak          | want           | 0.000534185266588-> 9.994659e-01   | 
want           | hij            | 0.00286139384843-> 9.971427e-01   | 
hij            | vernielde      | 9.77303079708e-06-> 9.999902e-01   | 
vernielde      | in             | 0.00900832843035-> 9.910321e-01   | 
in             | buien          | 0.000104280901724-> 9.998958e-01   | 
buien          | van            | 0.0294873118401-> 9.709432e-01   | 
van            | dronken        | 9.66256993706e-06-> 9.999903e-01   | 
dronken        | woede          | 6.92467983754e-06-> 9.999931e-01   | 
woede          | al             | 0.00154486927204-> 9.984563e-01   | 
al             | twee           | 0.00115819671191-> 9.988425e-01   | 
twee           | keer           | 0.000225657975534-> 9.997744e-01   | 
keer           | zijn           | 0.00769653031603-> 9.923330e-01   | 
zijn           | eigen          | 0.000360617035767-> 9.996395e-01   | 
eigen          | huis           | 2.23055103561e-05-> 9.999777e-01   | 
huis           | een            | 0.0103270346299-> 9.897261e-01   | 
een            | keer           | 0.000198708716198-> 9.998013e-01   | 
keer           | dat            | 0.005470036529 -> 9.945449e-01   | 
dat            | van            | 0.0348471328616-> 9.657530e-01   | 
van            | een            | 0.011512555182 -> 9.885535e-01   | 
een            | buur           | 9.9756725831e-06-> 9.999900e-01   | 
buur           | en             | 0.00699276244268-> 9.930316e-01   | 
en             | tussendoor     | 1.61103307619e-05-> 9.999839e-01   | 
tussendoor     | ook            | 0.00196563475765-> 9.980363e-01   | 
ook            | een            | 0.0116509115323-> 9.884167e-01   | 
een            | auto           | 2.75098209386e-05-> 9.999725e-01   | 
auto           | of             | 0.0022414769046-> 9.977610e-01   | 
of             | vijf           | 0.000346493819961-> 9.996536e-01   | 
vijf           | </s>           | 0.0082483002916-> 9.917856e-01   | 
</s>           | <s>            | 0.499507725239 -> 6.068293e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | Masters        | 6.02023937972e-05-> 9.999398e-01   | 
Masters        | van            | 0.0231191050261-> 9.771461e-01   | 
van            | dit            | 0.000802558322903-> 9.991978e-01   | 
dit            | jaar           | 0.00124167220201-> 9.987591e-01   | 
jaar           | betekenden     | 7.74287309468e-06-> 9.999923e-01   | 
betekenden     | voor           | 0.00387581530958-> 9.961317e-01   | 
voor           | <UNK>          | 0.0128223598003-> 9.872595e-01   | 
<UNK>          | de             | 0.0677390322089-> 9.345043e-01   | 
de             | definitieve    | 9.79692504188e-06-> 9.999902e-01   | 
definitieve    | terugkeer      | 1.79625440069e-05-> 9.999821e-01   | 
terugkeer      | aan            | 0.00227684085257-> 9.977257e-01   | 
aan            | de             | 0.0745277702808-> 9.281817e-01   | 
de             | top            | 2.72362449323e-05-> 9.999728e-01   | 
top            | </s>           | 0.00896847900003-> 9.910716e-01   | 
</s>           | <s>            | 0.499413698912 -> 6.068864e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | Spanjaard      | 2.3563799914e-05-> 9.999765e-01   | 
Spanjaard      | ook            | 0.00173617294058-> 9.982653e-01   | 
ook            | al             | 0.00151259964332-> 9.984885e-01   | 
al             | winnaar        | 1.14060112537e-05-> 9.999886e-01   | 
winnaar        | van            | 0.0298914276063-> 9.705509e-01   | 
van            | het            | 0.00252920109779-> 9.974740e-01   | 
het            | befaamde       | 1.16480150609e-05-> 9.999884e-01   | 
befaamde       | groene         | 1.4886203644e-05-> 9.999851e-01   | 
groene         | jasje          | 4.04617821914e-05-> 9.999595e-01   | 
jasje          | in             | 0.00908674299717-> 9.909544e-01   | 
in             | negentien      | 0.00191584369168-> 9.980860e-01   | 
negentien      | honderd        | 0.00354800117202-> 9.964583e-01   | 
honderd        | vier-en        | 0.000195315340534-> 9.998047e-01   | 
vier-en        | negentig       | 0.00101836933754-> 9.989821e-01   | 
negentig       | komma          | 0.000391047156882-> 9.996091e-01   | 
komma          | heeft          | 0.00128430465702-> 9.987165e-01   | 
heeft          | jaren          | 0.000646519940346-> 9.993537e-01   | 
jaren          | van            | 0.029332049191 -> 9.710940e-01   | 
van            | <UNK>          | 0.0144439088181-> 9.856599e-01   | 
<UNK>          | achter         | 7.98844193923e-05-> 9.999201e-01   | 
achter         | de             | 0.0653034225106-> 9.367832e-01   | 
de             | rug            | 1.86165361811e-05-> 9.999814e-01   | 
rug            | </s>           | 0.00899854395539-> 9.910418e-01   | 
</s>           | <s>            | 0.499423086643 -> 6.068807e-01   | 
<s>            | oorzaak        | 1.01893165265e-05-> 9.999898e-01   | 
oorzaak        | van            | 0.0156321525574-> 9.844894e-01   | 
van            | dat            | 0.00695333629847-> 9.930708e-01   | 
dat            | alles          | 0.000112499918032-> 9.998875e-01   | 
alles          | </s>           | 0.00765216583386-> 9.923770e-01   | 
</s>           | <s>            | 0.499454438686 -> 6.068617e-01   | 
<s>            | zijn           | 0.00491060037166-> 9.951015e-01   | 
zijn           | tenen          | 1.99258156499e-05-> 9.999801e-01   | 
tenen          | </s>           | 0.00683193095028-> 9.931914e-01   | 
</s>           | <s>            | 0.499091029167 -> 6.070822e-01   | 
<s>            | men            | 0.000247888092417-> 9.997522e-01   | 
men            | kan            | 0.000875867030118-> 9.991245e-01   | 
kan            | het            | 0.00247703446075-> 9.975260e-01   | 
het            | vanuit         | 5.27620832145e-05-> 9.999472e-01   | 
vanuit         | twee           | 0.00109126092866-> 9.989094e-01   | 
twee           | <UNK>          | 0.0150355994701-> 9.850768e-01   | 
<UNK>          | bekijken       | 1.79112066689e-05-> 9.999821e-01   | 
bekijken       | </s>           | 0.00814013089985-> 9.918929e-01   | 
</s>           | <s>            | 0.499506175518 -> 6.068302e-01   | 
<s>            | een            | 0.0127262566239-> 9.873544e-01   | 
een            | van            | 0.00631143944338-> 9.937084e-01   | 
van            | de             | 0.0618632510304-> 9.400114e-01   | 
de             | tenen          | 2.20947840717e-05-> 9.999779e-01   | 
tenen          | van            | 0.0311003103852-> 9.693784e-01   | 
van            | zijn           | 0.00762754585594-> 9.924015e-01   | 
zijn           | rechtervoet    | 1.95505890588e-05-> 9.999804e-01   | 
rechtervoet    | was            | 0.00290133082308-> 9.971029e-01   | 
was            | te             | 0.00739945610985-> 9.926279e-01   | 
te             | lang           | 0.000204213662073-> 9.997958e-01   | 
lang           | of             | 0.00230257865041-> 9.977001e-01   | 
of             | vier           | 0.000514509330969-> 9.994856e-01   | 
vier           | van            | 0.029287841171 -> 9.711369e-01   | 
van            | de             | 0.067239113152 -> 9.349716e-01   | 
de             | tenen          | 2.18597633648e-05-> 9.999781e-01   | 
tenen          | van            | 0.0349075272679-> 9.656947e-01   | 
van            | zijn           | 0.00780674442649-> 9.922236e-01   | 
zijn           | rechtervoet    | 1.9513823645e-05-> 9.999805e-01   | 
rechtervoet    | waren          | 0.000699664698914-> 9.993006e-01   | 
waren          | te             | 0.00687192566693-> 9.931516e-01   | 
te             | kort           | 2.33931459661e-05-> 9.999766e-01   | 
kort           | </s>           | 0.00866490975022-> 9.913725e-01   | 
</s>           | <s>            | 0.499490261078 -> 6.068399e-01   | 
<s>            | dit            | 0.00100389437284-> 9.989966e-01   | 
dit            | lijkt          | 4.03564008593e-05-> 9.999596e-01   | 
lijkt          | hetzelfde      | 1.96953224076e-05-> 9.999803e-01   | 
hetzelfde      | maar           | 0.00176088768058-> 9.982406e-01   | 
maar           | is             | 0.00692971516401-> 9.930943e-01   | 
is             | het            | 0.00264205085114-> 9.973614e-01   | 
het            | niet           | 0.00222526211292-> 9.977772e-01   | 
niet           | </s>           | 0.00817591231316-> 9.918574e-01   | 
</s>           | <s>            | 0.499447256327 -> 6.068660e-01   | 
<s>            | in             | 0.0105847110972-> 9.894711e-01   | 
in             | de             | 0.0723650977015-> 9.301912e-01   | 
de             | eerste         | 0.000603252789006-> 9.993969e-01   | 
eerste         | optiek         | 1.05159670056e-05-> 9.999895e-01   | 
optiek         | opereert       | 1.22086785268e-05-> 9.999878e-01   | 
opereert       | men            | 0.000284864509013-> 9.997151e-01   | 
men            | één          | 0.000856265774928-> 9.991441e-01   | 
één          | teen           | 6.34039724901e-06-> 9.999937e-01   | 
teen           | door           | 0.00214751227759-> 9.978548e-01   | 
door           | er             | 0.00291981361806-> 9.970844e-01   | 
er             | een            | 0.011657689698 -> 9.884100e-01   | 
een            | stuk           | 3.78328877559e-05-> 9.999622e-01   | 
stuk           | af             | 0.000386003695894-> 9.996141e-01   | 
af             | te             | 0.00707869976759-> 9.929463e-01   | 
te             | zagen          | 2.41257330345e-05-> 9.999759e-01   | 
zagen          | </s>           | 0.00891167949885-> 9.911279e-01   | 
</s>           | <s>            | 0.499495893717 -> 6.068365e-01   | 
<s>            | in             | 0.0105847110972-> 9.894711e-01   | 
in             | de             | 0.0723650977015-> 9.301912e-01   | 
de             | tweede         | 0.00023158856493-> 9.997684e-01   | 
tweede         | optiek         | 1.01553505374e-05-> 9.999899e-01   | 
optiek         | opereert       | 1.21778266475e-05-> 9.999878e-01   | 
opereert       | men            | 0.000285090471152-> 9.997150e-01   | 
men            | vier           | 0.000513086619321-> 9.994870e-01   | 
vier           | tenen          | 1.6855148715e-05-> 9.999831e-01   | 
tenen          | door           | 0.0021681888029-> 9.978341e-01   | 
door           | er             | 0.00293240626343-> 9.970719e-01   | 
er             | een            | 0.0116735640913-> 9.883943e-01   | 
een            | stuk           | 3.7831159716e-05-> 9.999622e-01   | 
stuk           | bij            | 0.00127244263422-> 9.987284e-01   | 
bij            | te             | 0.00714587885886-> 9.928796e-01   | 
te             | kleven         | 9.29665111471e-06-> 9.999907e-01   | 
kleven         | </s>           | 0.00860733352602-> 9.914296e-01   | 
</s>           | <s>            | 0.499486386776 -> 6.068423e-01   | 
<s>            | als            | 0.00344712310471-> 9.965588e-01   | 
als            | het            | 0.00282931677066-> 9.971747e-01   | 
het            | kan            | 0.00060466240393-> 9.993955e-01   | 
kan            | voor           | 0.00345571245998-> 9.965503e-01   | 
voor           | het            | 0.00275412830524-> 9.972497e-01   | 
het            | ding           | 1.47359269249e-05-> 9.999853e-01   | 
ding           | dan            | 0.00286702439189-> 9.971371e-01   | 
dan            | ook            | 0.00201428099535-> 9.979877e-01   | 
ook            | voor           | 0.0041498770006-> 9.958587e-01   | 
voor           | tenen          | 1.53659075295e-05-> 9.999846e-01   | 
tenen          | </s>           | 0.00803582929075-> 9.919963e-01   | 
</s>           | <s>            | 0.499532610178 -> 6.068142e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | koos           | 1.17808158393e-05-> 9.999882e-01   | 
koos           | voor           | 0.00373578676954-> 9.962712e-01   | 
voor           | de             | 0.0764962136745-> 9.263564e-01   | 
de             | eerste         | 0.00066114589572-> 9.993390e-01   | 
eerste         | methode        | 1.80121751328e-05-> 9.999820e-01   | 
methode        | en             | 0.00672239437699-> 9.933001e-01   | 
en             | dacht          | 1.4439023289e-05-> 9.999856e-01   | 
dacht          | dit            | 0.000760390656069-> 9.992399e-01   | 
dit            | in             | 0.00871039088815-> 9.913274e-01   | 
in             | het            | 0.00267638266087-> 9.973272e-01   | 
het            | tussenseizoen  | 3.49566216755e-05-> 9.999651e-01   | 
tussenseizoen  | gauw           | 2.31564154092e-05-> 9.999769e-01   | 
gauw           | even           | 0.00020094375941-> 9.997991e-01   | 
even           | te             | 0.00665256567299-> 9.933695e-01   | 
te             | laten          | 0.000181789015187-> 9.998182e-01   | 
laten          | <UNK>          | 0.0135121708736-> 9.865787e-01   | 
<UNK>          | </s>           | 0.00823224242777-> 9.918016e-01   | 
</s>           | <s>            | 0.499499827623 -> 6.068341e-01   | 
<s>            | weekje         | 5.59388809052e-06-> 9.999944e-01   | 
weekje         | of             | 0.00207307073288-> 9.979291e-01   | 
of             | drie           | 0.000532067846507-> 9.994681e-01   | 
drie           | inactiviteit   | 2.68193161901e-05-> 9.999732e-01   | 
inactiviteit   | had            | 0.00177855580114-> 9.982230e-01   | 
had            | de             | 0.0668484345078-> 9.353369e-01   | 
de             | chirurg        | 2.54286478594e-05-> 9.999745e-01   | 
chirurg        | hem            | 0.000898986007087-> 9.991014e-01   | 
hem            | verteld        | 1.10447108455e-05-> 9.999890e-01   | 
verteld        | </s>           | 0.00817948486656-> 9.918539e-01   | 
</s>           | <s>            | 0.499499350786 -> 6.068344e-01   | 
<s>            | het            | 0.00598850799724-> 9.940294e-01   | 
het            | optimisme      | 1.68652622961e-05-> 9.999831e-01   | 
optimisme      | van            | 0.0238225739449-> 9.764590e-01   | 
van            | de             | 0.0661440640688-> 9.359960e-01   | 
de             | chirurg        | 2.54953429248e-05-> 9.999745e-01   | 
chirurg        | wordt          | 0.00128007004969-> 9.987208e-01   | 
wordt          | veeleer        | 7.86609416537e-06-> 9.999921e-01   | 
veeleer        | bepaald        | 1.90700011444e-05-> 9.999809e-01   | 
bepaald        | door           | 0.00213296222501-> 9.978693e-01   | 
door           | de             | 0.0661228075624-> 9.360159e-01   | 
de             | stand          | 2.65142516582e-05-> 9.999735e-01   | 
stand          | van            | 0.0351992808282-> 9.654130e-01   | 
van            | zijn           | 0.00780269037932-> 9.922277e-01   | 
zijn           | bankrekening   | 9.42504993873e-06-> 9.999906e-01   | 
bankrekening   | dan            | 0.00298518757336-> 9.970193e-01   | 
dan            | door           | 0.00220394833013-> 9.977985e-01   | 
door           | wetenschappelijk| 9.95204936771e-06-> 9.999900e-01   | 
wetenschappelijk| verantwoorde   | 1.0821286196e-05-> 9.999892e-01   | 
verantwoorde   | verwachtingen  | 1.06364586827e-05-> 9.999894e-01   | 
verwachtingen  | </s>           | 0.00830803159624-> 9.917264e-01   | 
</s>           | <s>            | 0.499528557062 -> 6.068166e-01   | 
<s>            | twee           | 0.000821138033643-> 9.991792e-01   | 
twee           | jaar           | 0.000973441521637-> 9.990270e-01   | 
