input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
eigen           | huis            | 6.17262077332   <-> 5.29462242126   || 1
huis            | een             | 4.44937229156   <-> 4.38646125793   || 1
een             | keer            | 5.88853406906   <-> 6.74011898041   || 0
keer            | dat             | 4.37095928192   <-> 3.95401978493   || 1
dat             | van             | 5.43534088135   <-> 4.82784986496   || 1
van             | een             | 2.53918910027   <-> 2.57977318764   || 0
een             | buur            | 10.073264122    <-> 9.63929271698   || 1
buur            | en              | 3.34818840027   <-> 3.25935578346   || 1
en              | tussendoor      | 9.43395614624   <-> 10.6180381775   || 0
tussendoor      | ook             | 4.66024875641   <-> 4.20514678955   || 1
ook             | een             | 2.49674654007   <-> 2.5640411377    || 0
een             | auto            | 7.01114273071   <-> 6.45451450348   || 1
auto            | of              | 5.10744571686   <-> 5.01425361633   || 1
of              | vijf            | 6.22203922272   <-> 6.52557992935   || 0
vijf            | </s>            | 4.42742443085   <-> 3.52820777893   || 1
<s>             | de              | 2.21585941315   <-> 1.99175584316   || 1
de              | Masters         | 9.5794506073    <-> 10.331407547    || 0
Masters         | van             | 2.90870761871   <-> 2.0903275013    || 1
van             | dit             | 5.5698261261    <-> 6.04446935654   || 0
dit             | jaar            | 1.09416592121   <-> 1.17694175243   || 0
jaar            | betekenden      | 11.9640464783   <-> 11.6310663223   || 1
betekenden      | voor            | 4.73457956314   <-> 4.98318338394   || 0
voor            | <UNK>           | 3.06254959106   <-> 3.23341631889   || 0
<UNK>           | de              | 2.8819873333    <-> 2.89864706993   || 0
de              | definitieve     | 8.96505069733   <-> 7.87727642059   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 7.14800643921   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.49648094177   || 0
aan             | de              | 1.15630125999   <-> 0.975864112377  || 1
de              | top             | 5.65077781677   <-> 5.9050450325    || 0
top             | </s>            | 2.11021351814   <-> 1.40596628189   || 1
<s>             | de              | 1.9533905983    <-> 1.99175584316   || 0
de              | Spanjaard       | 6.84248924255   <-> 8.02513217926   || 0
Spanjaard       | ook             | 7.26819133759   <-> 7.88133335114   || 0
ook             | al              | 4.83883953094   <-> 4.03130626678   || 1
al              | winnaar         | 8.99768733978   <-> 9.92934608459   || 0
winnaar         | van             | 1.91338086128   <-> 0.71647799015   || 1
van             | het             | 2.37690067291   <-> 1.96514201164   || 1
het             | befaamde        | 8.27149772644   <-> 8.46494102478   || 0
befaamde        | groene          | 9.61242580414   <-> 9.0777759552    || 1
groene          | jasje           | 9.43173217773   <-> 8.73025035858   || 1
jasje           | in              | 3.10358071327   <-> 2.86479282379   || 1
in              | negentien       | 3.62931489944   <-> 3.81487417221   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.00657182419673 || 0
honderd         | vier-en         | 2.73439955711   <-> 2.16574382782   || 1
vier-en         | negentig        | 0.837672531605  <-> 0.619397521019  || 1
negentig        | komma           | 3.51524019241   <-> 2.48553228378   || 1
komma           | heeft           | 5.62657928467   <-> 4.91469526291   || 1
heeft           | jaren           | 9.09579563141   <-> 10.2160663605   || 0
jaren           | van             | 4.49076414108   <-> 5.66959238052   || 0
van             | <UNK>           | 2.65946674347   <-> 3.08701944351   || 0
<UNK>           | achter          | 7.30720901489   <-> 8.04600524902   || 0
achter          | de              | 1.15856039524   <-> 0.791500389576  || 1
de              | rug             | 4.0231180191    <-> 2.59210252762   || 1
rug             | </s>            | 1.79736876488   <-> 1.58729553223   || 1
<s>             | oorzaak         | 10.9862480164   <-> 10.6551809311   || 1
oorzaak         | van             | 1.23921585083   <-> 0.68532115221   || 1
van             | dat             | 5.88789463043   <-> 4.86709165573   || 1
dat             | alles           | 6.07289457321   <-> 5.28971004486   || 1
alles           | </s>            | 3.31787180901   <-> 2.93468570709   || 1
<s>             | zijn            | 4.86222267151   <-> 5.33799219131   || 0
zijn            | tenen           | 9.11949157715   <-> 9.85284900665   || 0
tenen           | </s>            | 3.08282756805   <-> 3.5791182518    || 0
<s>             | men             | 7.49837970734   <-> 6.75729513168   || 1
men             | kan             | 3.64465641975   <-> 3.34597754478   || 1
kan             | het             | 3.37154746056   <-> 3.1557571888    || 1
het             | vanuit          | 8.68105888367   <-> 8.05660820007   || 1
vanuit          | twee            | 5.1534781456    <-> 5.32056427002   || 0
twee            | <UNK>           | 3.66102862358   <-> 4.72838068008   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 6.39714860916   || 1
bekijken        | </s>            | 0.552473366261  <-> 0.867522716522  || 0
<s>             | een             | 3.50027704239   <-> 3.64563417435   || 0
een             | van             | 4.11967134476   <-> 3.83164024353   || 1
van             | de              | 0.940377354622  <-> 0.614160299301  || 1
de              | tenen           | 10.7287874222   <-> 11.3629465103   || 0
tenen           | van             | 2.00223374367   <-> 1.83265292645   || 1
van             | zijn            | 3.77207994461   <-> 3.92848229408   || 0
zijn            | rechtervoet     | 11.2749834061   <-> 9.74129676819   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.84365606308   || 0
was             | te              | 5.67240715027   <-> 5.07188034058   || 1
te              | lang            | 4.99927330017   <-> 3.90509915352   || 1
lang            | of              | 5.59437513351   <-> 5.71073913574   || 0
of              | vier            | 7.47712755203   <-> 7.43398761749   || 1
vier            | van             | 4.3149356842    <-> 4.25652360916   || 1
van             | de              | 1.27140808105   <-> 0.97028696537   || 1
de              | tenen           | 10.322353363    <-> 10.5888395309   || 0
tenen           | van             | 2.13400411606   <-> 1.92430365086   || 1
van             | zijn            | 3.8205575943    <-> 3.86070537567   || 0
zijn            | rechtervoet     | 11.2796344757   <-> 9.80139732361   || 1
rechtervoet     | waren           | 9.05664253235   <-> 8.09911060333   || 1
waren           | te              | 4.88770866394   <-> 4.98270511627   || 0
te              | kort            | 6.2590970993    <-> 5.84521102905   || 1
kort            | </s>            | 1.10241448879   <-> 0.91520601511   || 1
<s>             | dit             | 5.53546714783   <-> 5.13898229599   || 1
dit             | lijkt           | 4.63207244873   <-> 4.98522806168   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 7.64456558228   || 1
hetzelfde       | maar            | 3.6200928688    <-> 3.67141866684   || 0
maar            | is              | 4.78546905518   <-> 4.46327829361   || 1
is              | het             | 2.25560092926   <-> 2.5576672554    || 0
het             | niet            | 2.51742172241   <-> 2.45826911926   || 1
niet            | </s>            | 2.34264969826   <-> 2.62829971313   || 0
<s>             | in              | 3.40923929214   <-> 3.49429655075   || 0
in              | de              | 1.16503989697   <-> 1.23621177673   || 0
de              | eerste          | 3.17881178856   <-> 2.91757464409   || 1
eerste          | optiek          | 11.1943473816   <-> 9.80109024048   || 1
optiek          | opereert        | 11.5267019272   <-> 11.5400791168   || 0
opereert        | men             | 5.56022930145   <-> 5.39238643646   || 1
men             | één           | 6.65780067444   <-> 6.39921569824   || 1
één           | teen            | 10.4026517868   <-> 12.5534210205   || 0
teen            | door            | 5.07860326767   <-> 5.06267213821   || 1
door            | er              | 7.14582252502   <-> 6.66415405273   || 1
er              | een             | 2.9222240448    <-> 2.82264471054   || 1
een             | stuk            | 5.26984500885   <-> 5.68375682831   || 0
stuk            | af              | 5.36290454865   <-> 5.21771812439   || 1
af              | te              | 1.67568981647   <-> 2.1767168045    || 0
te              | zagen           | 9.119181633     <-> 10.1712579727   || 0
zagen           | </s>            | 0.650932133198  <-> 0.649838387966  || 1
<s>             | in              | 3.03750514984   <-> 3.49429655075   || 0
in              | de              | 1.14108252525   <-> 1.23621177673   || 0
de              | tweede          | 4.26096630096   <-> 4.06936264038   || 1
tweede          | optiek          | 11.6724462509   <-> 10.2175178528   || 1
optiek          | opereert        | 11.3934106827   <-> 11.6129779816   || 0
opereert        | men             | 5.81659555435   <-> 5.51923465729   || 1
men             | vier            | 6.95865058899   <-> 6.65862178802   || 1
vier            | tenen           | 12.0229635239   <-> 12.6169042587   || 0
tenen           | door            | 5.187541008     <-> 5.71579027176   || 0
door            | er              | 7.41223430634   <-> 6.60983371735   || 1
er              | een             | 3.07904195786   <-> 2.73954415321   || 1
een             | stuk            | 5.28120613098   <-> 5.72357368469   || 0
stuk            | bij             | 5.10493755341   <-> 4.89511156082   || 1
bij             | te              | 3.71422767639   <-> 3.973279953     || 0
te              | kleven          | 8.82188415527   <-> 7.98641490936   || 1
kleven          | </s>            | 0.454741954803  <-> 0.448135912418  || 1
<s>             | als             | 3.98150634766   <-> 4.40732049942   || 0
als             | het             | 2.70615673065   <-> 2.82728028297   || 0
het             | kan             | 6.41368293762   <-> 5.84207820892   || 1
kan             | voor            | 4.57471942902   <-> 5.02508068085   || 0
voor            | het             | 2.15823698044   <-> 2.23098564148   || 0
het             | ding            | 8.94631958008   <-> 8.94745922089   || 0
ding            | dan             | 5.43412685394   <-> 5.41922664642   || 1
dan             | ook             | 3.87766432762   <-> 3.20320868492   || 1
ook             | voor            | 4.75838756561   <-> 4.26222324371   || 1
voor            | tenen           | 12.3216514587   <-> 13.2382717133   || 0
tenen           | </s>            | 3.27903366089   <-> 1.84694039822   || 1
<s>             | <UNK>           | 3.1929666996    <-> 3.1544175148    || 1
<UNK>           | koos            | 7.90973186493   <-> 8.08326244354   || 0
koos            | voor            | 3.4993159771    <-> 2.36813783646   || 1
voor            | de              | 1.42037582397   <-> 1.38043391705   || 1
de              | eerste          | 4.25582313538   <-> 4.03017139435   || 1
eerste          | methode         | 8.60768318176   <-> 8.17041873932   || 1
methode         | en              | 3.47983551025   <-> 3.56796264648   || 0
en              | dacht           | 8.16986274719   <-> 9.28284168243   || 0
dacht           | dit             | 5.56470966339   <-> 6.08241081238   || 0
dit             | in              | 3.65505003929   <-> 4.3574924469    || 0
in              | het             | 2.03658986092   <-> 1.98758852482   || 1
het             | tussenseizoen   | 9.01055335999   <-> 8.48064422607   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 11.0156030655   || 0
gauw            | even            | 5.67351341248   <-> 5.67381095886   || 0
even            | te              | 3.6081867218    <-> 2.99518036842   || 1
te              | laten           | 4.67908477783   <-> 4.71528434753   || 0
laten           | <UNK>           | 4.26268625259   <-> 3.78593492508   || 1
<UNK>           | </s>            | 0.712673485279  <-> 0.576940059662  || 1
<s>             | weekje          | 15.2415599823   <-> 14.4299201965   || 1
weekje          | of              | 5.96307420731   <-> 6.05855798721   || 0
of              | drie            | 6.4215927124    <-> 6.43677282333   || 0
drie            | inactiviteit    | 11.9630355835   <-> 12.5772695541   || 0
inactiviteit    | had             | 5.67290353775   <-> 5.57440948486   || 1
had             | de              | 2.14886856079   <-> 1.95257282257   || 1
de              | chirurg         | 9.77689266205   <-> 9.8828125       || 0
chirurg         | hem             | 5.53137207031   <-> 5.48512935638   || 1
hem             | verteld         | 6.60745477676   <-> 6.17031431198   || 1
verteld         | </s>            | 0.893388807774  <-> 0.819403767586  || 1
<s>             | het             | 2.85978198051   <-> 2.80581140518   || 1
het             | optimisme       | 9.66396617889   <-> 8.8642244339    || 1
optimisme       | van             | 1.64461064339   <-> 1.56617319584   || 1
van             | de              | 1.09189653397   <-> 1.12128925323   || 0
de              | chirurg         | 9.99074363708   <-> 9.97152996063   || 1
chirurg         | wordt           | 4.43412303925   <-> 4.02032184601   || 1
wordt           | veeleer         | 8.63830375671   <-> 8.17659854889   || 1
veeleer         | bepaald         | 6.72909593582   <-> 5.79739522934   || 1
bepaald         | door            | 3.05246257782   <-> 2.26787662506   || 1
door            | de              | 1.19689846039   <-> 1.15209412575   || 1
de              | stand           | 8.2211265564    <-> 8.76120662689   || 0
stand           | van             | 1.04443573952   <-> 0.779788732529  || 1
van             | zijn            | 3.64379262924   <-> 3.91128849983   || 0
zijn            | bankrekening    | 8.82584190369   <-> 8.86309432983   || 0
bankrekening    | dan             | 5.72494316101   <-> 6.36951065063   || 0
dan             | door            | 5.50315237045   <-> 5.62697029114   || 0
door            | wetenschappelijk | 10.2699899673   <-> 9.64736747742   || 1
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 6.4967455864    || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 8.05681324005   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 0.702352583408  || 0
<s>             | twee            | 6.33663082123   <-> 5.9922504425    || 1
twee            | jaar            | 2.46537542343   <-> 2.58919525146   || 0
jaar            | lang            | 4.38011455536   <-> 4.10560321808   || 1
lang            | kon             | 5.45491123199   <-> 5.40569782257   || 1
kon             | <UNK>           | 4.39452934265   <-> 4.1497926712    || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 8.01760292053   || 0
nauwelijks      | stappen         | 7.94340705872   <-> 7.85946035385   || 1
stappen         | </s>            | 1.82533192635   <-> 1.57034599781   || 1
<s>             | en              | 4.00813388824   <-> 4.06346845627   || 0
en              | dat             | 2.87408471107   <-> 2.76839113235   || 1
dat             | is              | 1.82655930519   <-> 1.77161335945   || 1
is              | in              | 3.85210323334   <-> 3.94470143318   || 0
in              | golf            | 12.3708496094   <-> 12.6913528442   || 0
golf            | een             | 4.63177061081   <-> 3.46170592308   || 1
een             | fatale          | 9.56700992584   <-> 9.90286636353   || 0
fatale          | handicap        | 7.79643535614   <-> 8.12215805054   || 0
handicap        | aangezien       | 9.82438278198   <-> 8.82242584229   || 1
aangezien       | één           | 7.48195934296   <-> 7.70700025558   || 0
één           | rondje          | 11.5680971146   <-> 11.4994573593   || 1
rondje          | van             | 3.84357595444   <-> 4.05844259262   || 0
van             | achttien        | 7.00368738174   <-> 7.20526456833   || 0
achttien        | holes           | 12.8574590683   <-> 10.6202344894   || 1
holes           | makkelijk       | 10.3047142029   <-> 10.3227958679   || 0
makkelijk       | zeven           | 8.8553647995    <-> 8.57688713074   || 1
zeven           | kilometer       | 4.21092653275   <-> 4.66853713989   || 0
kilometer       | bedraagt        | 7.60011720657   <-> 7.10793495178   || 1
bedraagt        | en              | 3.16815185547   <-> 3.33439993858   || 0
en              | een             | 3.03854513168   <-> 3.12037873268   || 0
een             | toernooi        | 10.8307285309   <-> 10.6219024658   || 1
toernooi        | vier            | 7.50992298126   <-> 7.38077878952   || 1
vier            | rondjes         | 10.6407260895   <-> 10.6144294739   || 1
rondjes         | van             | 3.91817951202   <-> 3.84967279434   || 1
van             | achttien        | 6.57913303375   <-> 5.9912405014    || 1
achttien        | holes           | 12.7465114594   <-> 11.0169820786   || 1
holes           | </s>            | 1.63304495811   <-> 1.68347132206   || 0
<s>             | tenzij          | 9.53739738464   <-> 8.72159576416   || 1
tenzij          | je              | 3.23516225815   <-> 2.99852919579   || 1
je              | zoals           | 7.52048873901   <-> 7.67320728302   || 0
zoals           | Nick            | 10.2033481598   <-> 10.8558444977   || 0
Nick            | <UNK>           | 1.36875653267   <-> 1.55794286728   || 0
<UNK>           | de              | 2.72600412369   <-> 3.32460951805   || 0
de              | cut             | 12.4476604462   <-> 12.0524349213   || 1
cut             | niet            | 4.9752702713    <-> 4.73968410492   || 1
niet            | meer            | 3.5691318512    <-> 3.53362703323   || 1
meer            | overleeft       | 9.84622764587   <-> 8.9374704361    || 1
overleeft       | </s>            | 1.77189326286   <-> 1.35465669632   || 1
<s>             | <UNK>           | 3.02815723419   <-> 3.1544175148    || 0
<UNK>           | kreeg           | 6.26706552505   <-> 6.00638389587   || 1
kreeg           | van             | 4.89323139191   <-> 4.53534889221   || 1
van             | de              | 1.23630857468   <-> 1.33086836338   || 0
de              | Royal           | 8.48195075989   <-> 9.03609848022   || 0
Royal           | and             | 9.14627170563   <-> 7.53521156311   || 1
and             | <UNK>           | 1.00547063351   <-> 1.23331093788   || 0
<UNK>           | de              | 2.84650087357   <-> 2.64204072952   || 1
de              | hoogste         | 7.11290931702   <-> 6.02839756012   || 1
hoogste         | <UNK>           | 1.61399185658   <-> 2.10594034195   || 0
<UNK>           | die             | 3.36067914963   <-> 3.13220334053   || 1
die             | huist           | 12.2577238083   <-> 12.7231521606   || 0
huist           | in              | 2.28136444092   <-> 2.17888188362   || 1
in              | het             | 2.12585139275   <-> 1.86013674736   || 1
het             | Schotse         | 7.91819763184   <-> 8.03017711639   || 0
Schotse         | <UNK>           | 1.32601594925   <-> 1.45183050632   || 0
<UNK>           | geen            | 8.05988883972   <-> 8.38920593262   || 0
geen            | toestemming     | 8.42955780029   <-> 8.01764774323   || 1
toestemming     | om              | 2.83463764191   <-> 2.6830163002    || 1
om              | zich            | 4.27716398239   <-> 4.40446138382   || 0
zich            | met             | 3.67360067368   <-> 3.66561365128   || 1
met             | een             | 1.74010384083   <-> 1.94178402424   || 0
een             | karretje        | 11.2865428925   <-> 10.7267074585   || 1
karretje        | door            | 4.92384243011   <-> 5.16349506378   || 0
door            | de              | 1.63564407825   <-> 1.64840447903   || 0
de              | toernooien      | 12.6028862      <-> 12.4704227448   || 1
toernooien      | van             | 2.32933521271   <-> 2.35508656502   || 0
van             | de              | 1.04829752445   <-> 1.09444463253   || 0
de              | Europese        | 5.82099294662   <-> 4.91719675064   || 1
Europese        | <UNK>           | 1.921017766     <-> 2.78006625175   || 0
<UNK>           | te              | 1.67819845676   <-> 1.57744121552   || 1
te              | verplaatsen     | 6.81029367447   <-> 6.74249267578   || 1
verplaatsen     | </s>            | 0.300492346287  <-> 0.225983470678  || 1
<s>             | wat             | 5.71319103241   <-> 5.26503515244   || 1
wat             | hij             | 3.63964438438   <-> 3.89212489128   || 0
hij             | wel             | 5.51980495453   <-> 5.70588970184   || 0
wel             | kreeg           | 6.51576519012   <-> 6.6121931076    || 0
kreeg           | was             | 3.43510293961   <-> 3.7188410759    || 0
was             | een             | 2.22494029999   <-> 2.34467482567   || 0
een             | aanval          | 8.56018924713   <-> 7.58396100998   || 1
aanval          | van             | 2.39128756523   <-> 3.15639519691   || 0
van             | artritis        | 12.9600992203   <-> 12.898314476    || 1
artritis        | een             | 4.28375530243   <-> 4.4844751358    || 0
een             | aanzet          | 9.23271751404   <-> 9.32322311401   || 0
aanzet          | tot             | 3.50319051743   <-> 3.04638004303   || 1
tot             | <UNK>           | 2.461830616     <-> 2.50850343704   || 0
<UNK>           | een             | 4.48643398285   <-> 4.82680130005   || 0
een             | depressie       | 9.00370979309   <-> 8.42032527924   || 1
depressie       | en              | 2.62071657181   <-> 2.82354712486   || 0
en              | een             | 2.38599491119   <-> 2.6194062233    || 0
een             | plaatsje        | 7.63789892197   <-> 8.19868659973   || 0
plaatsje        | in              | 2.28542518616   <-> 2.22323083878   || 1
in              | de              | 1.1620759964    <-> 1.27760112286   || 0
de              | grauwe          | 10.2060174942   <-> 9.61562156677   || 1
grauwe          | middenmoot      | 10.1832418442   <-> 8.2871427536    || 1
middenmoot      | </s>            | 0.681290328503  <-> 0.665383934975  || 1
<s>             | dat             | 3.89798116684   <-> 3.80668210983   || 1
dat             | stelde          | 7.96910429001   <-> 7.1866440773    || 1
stelde          | een             | 2.77285003662   <-> 3.00490927696   || 0
een             | extra           | 7.08047294617   <-> 6.32914447784   || 1
extra           | probleem        | 6.87107133865   <-> 7.39440441132   || 0
probleem        | voor            | 2.60854935646   <-> 2.31654524803   || 1
voor            | zijn            | 3.83436179161   <-> 4.15323352814   || 0
zijn            | landgenoot      | 7.96433544159   <-> 7.20952749252   || 1
landgenoot      | <UNK>           | 1.99541091919   <-> 2.45269346237   || 0
<UNK>           | <UNK>           | 1.91029763222   <-> 2.0916891098    || 0
<UNK>           | die             | 3.30207562447   <-> 3.67811870575   || 0
die             | twee            | 5.92310237885   <-> 5.69076967239   || 1
twee            | jaar            | 2.48247337341   <-> 1.90600919724   || 1
jaar            | geleden         | 0.715930461884  <-> 0.614315390587  || 1
geleden         | captain         | 14.7736110687   <-> 15.2633132935   || 0
captain         | was             | 3.78480315208   <-> 3.71981573105   || 1
was             | van             | 3.73430633545   <-> 3.76823091507   || 0
van             | de              | 1.18614912033   <-> 1.16396665573   || 1
de              | Europese        | 5.55273532867   <-> 4.76285219193   || 1
Europese        | ploeg           | 6.68596363068   <-> 6.16160535812   || 1
ploeg           | voor            | 4.17409420013   <-> 4.57771730423   || 0
voor            | de              | 0.971541702747  <-> 1.06259989738   || 0
de              | Ryder           | 12.7288560867   <-> 12.2445774078   || 1
Ryder           | Cup             | 5.77059936523   <-> 1.71476602554   || 1
Cup             | de              | 4.52915477753   <-> 4.43967008591   || 1
de              | tweejaarlijkse  | 9.97623920441   <-> 9.69628810883   || 1
tweejaarlijkse  | ontmoeting      | 8.96566772461   <-> 8.19228172302   || 1
ontmoeting      | tussen          | 2.5935382843    <-> 1.88579618931   || 1
tussen          | Amerika         | 7.67044401169   <-> 7.82269287109   || 0
Amerika         | en              | 1.00869905949   <-> 0.995222091675  || 1
en              | Europa          | 6.57818841934   <-> 6.55670452118   || 1
Europa          | </s>            | 0.600054383278  <-> 0.497706890106  || 1
<s>             | met             | 4.65609836578   <-> 4.79509496689   || 0
met             | voorsprong      | 10.5163516998   <-> 10.2523202896   || 1
voorsprong      | het             | 6.52677726746   <-> 6.50550937653   || 1
het             | belangrijkste   | 6.74014902115   <-> 6.31001091003   || 1
belangrijkste   | toernooi        | 9.46043395996   <-> 9.44622898102   || 1
toernooi        | in              | 2.67163276672   <-> 2.67882823944   || 0
in              | het             | 2.37168312073   <-> 1.99767613411   || 1
het             | internationale  | 7.60614585876   <-> 7.95420646667   || 0
internationale  | golf            | 11.134935379    <-> 10.6833992004   || 1
golf            | </s>            | 3.54217934608   <-> 3.39070653915   || 1
<s>             | er              | 4.70186281204   <-> 4.51071500778   || 1
er              | wordt           | 3.18857836723   <-> 2.72346830368   || 1
wordt           | wisselend       | 12.1429347992   <-> 10.7219877243   || 1
wisselend       | gespeeld        | 6.40888690948   <-> 8.04258537292   || 0
gespeeld        | in              | 2.48607587814   <-> 2.73469018936   || 0
in              | Europa          | 5.83965730667   <-> 5.29112768173   || 1
Europa          | en              | 2.51659727097   <-> 2.09207367897   || 1
en              | Amerika         | 7.51908159256   <-> 6.47091960907   || 1
Amerika         | </s>            | 1.32664442062   <-> 0.816756248474  || 1
<s>             | in              | 3.05780506134   <-> 3.49429655075   || 0
in              | Europa          | 5.36949825287   <-> 5.0574836731    || 1
Europa          | is              | 2.30986976624   <-> 2.19689583778   || 1
is              | het             | 1.83301091194   <-> 1.62586581707   || 1
het             | altijd          | 6.25949287415   <-> 6.37925624847   || 0
altijd          | in              | 3.28075051308   <-> 3.69993567467   || 0
in              | </s>            | 6.8258099556    <-> 6.21621417999   || 1
<s>             | Groot-Brittannië | 9.05839633942   <-> 9.34467792511   || 0
Groot-Brittannië | te              | 7.39029169083   <-> 7.570728302     || 0
te              | doen            | 4.66644382477   <-> 4.20909404755   || 1
doen            | behalve         | 8.96350860596   <-> 9.10565948486   || 0
behalve         | twee            | 5.43679094315   <-> 5.3688211441    || 1
twee            | jaar            | 3.14444088936   <-> 2.68755793571   || 1
jaar            | geleden         | 1.00610101223   <-> 1.1765409708    || 0
geleden         | </s>            | 2.17714071274   <-> 1.46948957443   || 1
<s>             | toen            | 5.58054685593   <-> 5.63767004013   || 0
toen            | werd            | 5.07631111145   <-> 4.46852493286   || 1
werd            | voor            | 5.53336954117   <-> 5.52783679962   || 1
voor            | het             | 2.40348148346   <-> 2.21411728859   || 1
het             | eerst           | 1.82074117661   <-> 1.14707708359   || 1
eerst           | een             | 2.41600131989   <-> 2.4600892067    || 0
een             | uitzondering    | 7.82986450195   <-> 7.47733211517   || 1
uitzondering    | gemaakt         | 4.03034543991   <-> 3.61653709412   || 1
gemaakt         | en              | 3.54271101952   <-> 3.12483763695   || 1
en              | had             | 5.05499744415   <-> 5.4150390625    || 0
had             | de              | 1.83287858963   <-> 1.97423803806   || 0
de              | Ryder           | 13.1010370255   <-> 12.701417923    || 1
Ryder           | Cup             | 9.33024215698   <-> 4.01257944107   || 1
Cup             | plaats          | 7.7570066452    <-> 7.89398860931   || 0
plaats          | op              | 2.33004426956   <-> 3.14998340607   || 0
op              | de              | 1.0871707201    <-> 1.34480202198   || 0
de              | baan            | 6.91418743134   <-> 6.57416963577   || 1
baan            | van             | 2.20904636383   <-> 2.30302262306   || 0
van             | </s>            | 7.18993759155   <-> 6.29864501953   || 1
<s>             | bij             | 4.90858507156   <-> 5.10428094864   || 0
bij             | <UNK>           | 3.0974342823    <-> 3.11669921875   || 0
<UNK>           | in              | 3.50557637215   <-> 3.82506561279   || 0
in              | de              | 1.18913245201   <-> 1.26378333569   || 0
de              | achtertuin      | 9.85795307159   <-> 9.37441158295   || 1
achtertuin      | </s>            | 3.5014705658    <-> 3.21011376381   || 1
<s>             | <UNK>           | 2.94782853127   <-> 3.1544175148    || 0
<UNK>           | in              | 3.47399759293   <-> 3.93126273155   || 0
in              | het             | 2.50705218315   <-> 2.17836284637   || 1
het             | team            | 7.05309057236   <-> 7.53110218048   || 0
team            | of              | 6.0436964035    <-> 5.97977638245   || 1
of              | niet            | 5.89813756943   <-> 6.12955474854   || 0
niet            | dat             | 4.03240299225   <-> 3.84668374062   || 1
dat             | scheelde        | 12.956076622    <-> 12.6287384033   || 1
scheelde        | een             | 2.50790214539   <-> 2.87099552155   || 0
een             | slok            | 9.48337173462   <-> 8.6048374176    || 1
slok            | op              | 2.99884390831   <-> 2.35329389572   || 1
op              | de              | 1.28590846062   <-> 1.62470674515   || 0
de              | borrel          | 10.1655073166   <-> 8.19779968262   || 1
borrel          | voor            | 4.50142621994   <-> 4.21686220169   || 1
voor            | de              | 1.06006145477   <-> 1.4236086607    || 0
de              | publieke        | 8.33115386963   <-> 8.22164726257   || 1
publieke        | belangstelling  | 7.76641464233   <-> 8.2858247757    || 0
belangstelling  | en              | 2.844383955     <-> 2.78655576706   || 1
en              | de              | 1.58183860779   <-> 2.27056336403   || 0
de              | <UNK>           | 1.71573364735   <-> 2.08773756027   || 0
<UNK>           | </s>            | 1.69456100464   <-> 1.9007499218    || 0
<s>             | zeker           | 7.47850942612   <-> 7.5326924324    || 0
zeker           | omdat           | 5.82452774048   <-> 5.38175678253   || 1
omdat           | <UNK>           | 3.71772122383   <-> 4.5312628746    || 0
<UNK>           | zichzelf        | 7.47939968109   <-> 7.35985469818   || 1
zichzelf        | niet            | 3.44743680954   <-> 3.26711058617   || 1
niet            | met             | 5.08962535858   <-> 4.70712566376   || 1
met             | goed            | 7.7994389534    <-> 7.14319944382   || 1
goed            | fatsoen         | 10.6971178055   <-> 8.99299430847   || 1
fatsoen         | kon             | 4.73758602142   <-> 5.07906627655   || 0
kon             | selecteren      | 8.68536186218   <-> 9.63712692261   || 0
selecteren      | </s>            | 0.5550801754    <-> 0.91899228096   || 0
<s>             | het             | 2.62368512154   <-> 2.80581140518   || 0
het             | is              | 1.78868865967   <-> 1.92967700958   || 0
is              | reglementair    | 12.5854892731   <-> 11.9018697739   || 1
reglementair    | niet            | 3.73824214935   <-> 3.09623146057   || 1
niet            | verboden        | 8.61297225952   <-> 8.65812587738   || 0
verboden        | dat             | 3.03243708611   <-> 2.30309009552   || 1
dat             | de              | 1.58643507957   <-> 1.64752542973   || 0
de              | captain         | 12.781080246    <-> 12.4119501114   || 1
captain         | mee             | 7.79911994934   <-> 7.66485118866   || 1
mee             | speelt          | 7.60137939453   <-> 7.79647922516   || 0
speelt          | maar            | 4.15299797058   <-> 3.96218633652   || 1
maar            | </s>            | 6.36630249023   <-> 6.1661529541    || 1
<s>             | <UNK>           | 3.38027763367   <-> 3.1544175148    || 1
<UNK>           | was             | 4.30121898651   <-> 4.36915969849   || 0
was             | ondertussen     | 7.05383205414   <-> 6.97950077057   || 1
ondertussen     | zo              | 5.17728996277   <-> 5.27898311615   || 0
zo              | slecht          | 4.63853740692   <-> 4.93578910828   || 0
slecht          | geworden        | 4.11204767227   <-> 4.16330718994   || 0
geworden        | dat             | 2.84441590309   <-> 3.79087948799   || 0
dat             | hij             | 2.4312877655    <-> 2.86717224121   || 0
hij             | dat             | 5.27652359009   <-> 4.92708587646   || 1
