input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
zonet           | een             | 2.18640041351   <-> 2.33822417259   || 0
een             | alternatief     | 7.34028959274   <-> 7.0673084259    || 1
alternatief     | bedacht         | 8.15095996857   <-> 7.53161668777   || 1
bedacht         | </s>            | 0.895119130611  <-> 0.683655500412  || 1
<s>             | de              | 2.45014667511   <-> 2.68573331833   || 0
de              | bar             | 9.36391544342   <-> 9.16702747345   || 1
bar             | van             | 2.10894775391   <-> 2.19951081276   || 0
van             | het             | 2.21834421158   <-> 2.15961790085   || 1
het             | <UNK>           | 1.66415894032   <-> 1.7866820097    || 0
<UNK>           | </s>            | 2.4365131855    <-> 2.57012224197   || 0
<s>             | <UNK>           | 3.08960032463   <-> 3.21709179878   || 0
<UNK>           | was             | 4.63409233093   <-> 4.70424938202   || 0
was             | niet            | 3.52468752861   <-> 3.35019898415   || 1
niet            | de              | 3.96210956573   <-> 3.72861719131   || 1
de              | enige           | 3.86578178406   <-> 2.86403989792   || 1
enige           | <UNK>           | 2.30050873756   <-> 1.98694992065   || 1
<UNK>           | van             | 1.94788348675   <-> 1.53049969673   || 1
van             | de              | 1.1775534153    <-> 1.08279931545   || 1
de              | afgelopen       | 7.69647073746   <-> 7.71225357056   || 0
afgelopen       | US              | 11.3096780777   <-> 10.4845399857   || 1
US              | Open            | 3.55695343018   <-> 0.23189137876   || 1
Open            | </s>            | 0.770291268826  <-> 0.900445878506  || 0
<s>             | wat             | 5.2954044342    <-> 5.29751729965   || 0
wat             | gedacht         | 10.4294643402   <-> 10.6702051163   || 0
gedacht         | van             | 4.63942718506   <-> 4.37843751907   || 1
van             | <UNK>           | 2.79191303253   <-> 2.52249884605   || 1
<UNK>           | <UNK>           | 2.65572881699   <-> 2.54284143448   || 1
<UNK>           | die             | 4.43547725677   <-> 4.70601987839   || 0
die             | zijn            | 4.48854255676   <-> 4.23712062836   || 1
zijn            | hand            | 6.87211322784   <-> 6.92983102798   || 0
hand            | brak            | 8.84503364563   <-> 8.20406246185   || 1
brak            | toen            | 6.27517604828   <-> 6.63571596146   || 0
toen            | hij             | 2.78348684311   <-> 2.42018151283   || 1
hij             | in              | 2.61956119537   <-> 2.68428039551   || 0
in              | zijn            | 3.58692765236   <-> 3.66854190826   || 0
zijn            | hotelkamer      | 7.42719173431   <-> 7.17923736572   || 1
hotelkamer      | uit             | 5.43803882599   <-> 5.52461719513   || 0
uit             | woede           | 10.3097763062   <-> 10.7810325623   || 0
woede           | over            | 5.27744913101   <-> 5.31381034851   || 0
over            | een             | 2.7759771347    <-> 2.61147356033   || 1
een             | mislukte        | 8.62080764771   <-> 7.41154432297   || 1
mislukte        | <UNK>           | 1.78146803379   <-> 2.09929060936   || 0
<UNK>           | van             | 3.40825843811   <-> 2.7707631588    || 1
van             | vijf-en         | 6.5149269104    <-> 6.74794769287   || 0
vijf-en         | zeventig        | 2.87413525581   <-> 2.68470454216   || 1
zeventig        | komma           | 3.38884139061   <-> 2.93912124634   || 1
komma           | met             | 5.56944656372   <-> 5.96190786362   || 0
met             | zijn            | 3.59159803391   <-> 3.41380214691   || 1
zijn            | vuist           | 9.21673202515   <-> 9.07278347015   || 1
vuist           | tegen           | 5.20976257324   <-> 5.84930515289   || 0
tegen           | de              | 1.08098328114   <-> 1.11518132687   || 0
de              | muur            | 6.48497390747   <-> 6.4342250824    || 1
muur            | sloeg           | 6.90119886398   <-> 6.43519067764   || 1
sloeg           | </s>            | 1.36103451252   <-> 1.54951047897   || 0
<s>             | het             | 2.91078567505   <-> 2.79439210892   || 1
het             | kan             | 5.02523231506   <-> 5.59285402298   || 0
kan             | eenieder        | 13.3740196228   <-> 13.6492385864   || 0
eenieder        | te              | 5.35643911362   <-> 5.02029037476   || 1
te              | veel            | 3.4459900856    <-> 4.07429790497   || 0
veel            | worden          | 4.81814527512   <-> 5.94998598099   || 0
worden          | al              | 7.27548742294   <-> 5.88047504425   || 1
al              | kennen          | 8.54868125916   <-> 10.4139556885   || 0
kennen          | wij             | 4.42156887054   <-> 5.24620342255   || 0
wij             | er              | 3.67128705978   <-> 3.60502004623   || 1
er              | velen           | 10.3159332275   <-> 10.3314695358   || 0
velen           | die             | 4.3105173111    <-> 4.37366437912   || 0
die             | een             | 3.69494175911   <-> 3.61282539368   || 1
een             | gat             | 7.60516786575   <-> 7.72204303741   || 0
gat             | in              | 3.04112887383   <-> 2.79736661911   || 1
in              | de              | 1.30772507191   <-> 1.2660022974    || 1
de              | lucht           | 4.91036319733   <-> 4.38358163834   || 1
lucht           | zouden          | 4.56312656403   <-> 5.23750495911   || 0
zouden          | springen        | 7.19895839691   <-> 7.84812355042   || 0
springen        | als             | 4.32183074951   <-> 4.77277469635   || 0
als             | ze              | 2.96289134026   <-> 2.68511414528   || 1
ze              | erin            | 7.20727968216   <-> 7.63351917267   || 0
erin            | slaagden        | 8.35761260986   <-> 6.46342229843   || 1
slaagden        | de              | 3.84105920792   <-> 3.09653139114   || 1
de              | No              | 13.1218490601   <-> 14.0229740143   || 0
No              | </s>            | 5.22731971741   <-> 5.08022356033   || 1
<s>             | twee            | 6.59508609772   <-> 6.22189235687   || 1
twee            | van             | 4.96207046509   <-> 5.19983196259   || 0
van             | </s>            | 7.81960678101   <-> 7.81484031677   || 1
<s>             | <UNK>           | 3.1999027729    <-> 3.01861810684   || 1
<UNK>           | in              | 3.56763291359   <-> 3.87882089615   || 0
in              | vijf-en         | 7.7407541275    <-> 7.67411136627   || 1
vijf-en         | zeventig        | 3.14437270164   <-> 2.69629096985   || 1
zeventig        | slagen          | 10.9048347473   <-> 10.7973594666   || 1
slagen          | af              | 6.75201797485   <-> 6.73429965973   || 1
af              | te              | 3.39312458038   <-> 2.61162424088   || 1
te              | werken          | 3.90135407448   <-> 3.74699115753   || 1
werken          | </s>            | 0.735474944115  <-> 0.634286642075  || 1
<s>             | frustratie      | 11.490354538    <-> 11.902176857    || 0
frustratie      | is              | 3.58433103561   <-> 2.86596655846   || 1
is              | inherent        | 11.3809194565   <-> 10.3915958405   || 1
inherent        | aan             | 3.44324016571   <-> 1.82149541378   || 1
aan             | golf            | 11.4418802261   <-> 11.6141939163   || 0
golf            | een             | 6.31974697113   <-> 6.37743377686   || 0
een             | sport           | 9.04555034637   <-> 8.55176734924   || 1
sport           | waarvan         | 6.72357273102   <-> 6.29384708405   || 1
waarvan         | het             | 2.35043025017   <-> 2.30336999893   || 1
het             | de              | 4.05944728851   <-> 3.92141914368   || 1
de              | bedoeling       | 5.9273891449    <-> 5.51514673233   || 1
bedoeling       | is              | 1.53255832195   <-> 1.40294182301   || 1
is              | om              | 1.79358160496   <-> 1.85554468632   || 0
om              | de              | 1.62909507751   <-> 1.85791659355   || 0
de              | speler          | 9.67253684998   <-> 8.67553520203   || 1
speler          | met             | 4.38285589218   <-> 4.21497964859   || 1
met             | zijn            | 3.55771446228   <-> 3.65493631363   || 0
zijn            | nietigheid      | 12.7912998199   <-> 12.128452301    || 1
nietigheid      | te              | 1.0558154583    <-> 0.789438426495  || 1
te              | confronteren    | 7.93393659592   <-> 7.93673038483   || 0
confronteren    | </s>            | 0.396381407976  <-> 0.623170077801  || 0
<s>             | in              | 3.08629775047   <-> 3.46638059616   || 0
in              | het             | 2.07018971443   <-> 1.90659940243   || 1
het             | handboek        | 10.2772140503   <-> 10.2308197021   || 1
handboek        | van             | 1.15033626556   <-> 1.11355674267   || 1
van             | Peter           | 7.36550331116   <-> 6.87060117722   || 1
Peter           | </s>            | 6.25722026825   <-> 6.48290157318   || 0
<s>             | <UNK>           | 3.16264796257   <-> 2.90509676933   || 1
<UNK>           | staat           | 5.58279323578   <-> 5.86178874969   || 0
staat           | het             | 3.51197957993   <-> 3.59218597412   || 0
het             | zo              | 5.59704065323   <-> 7.18884325027   || 0
zo              | </s>            | 4.55113983154   <-> 3.73278236389   || 1
<s>             | <UNK>           | 3.25297451019   <-> 2.98670721054   || 1
<UNK>           | spelen          | 8.46082687378   <-> 8.43025112152   || 1
spelen          | golf            | 12.5316333771   <-> 11.9362955093   || 1
golf            | om              | 5.47968530655   <-> 5.05846309662   || 1
om              | te              | 3.07535648346   <-> 2.9346203804    || 1
te              | bewijzen        | 5.59147071838   <-> 5.28673362732   || 1
bewijzen        | dat             | 1.32910180092   <-> 0.664903879166  || 1
dat             | ze              | 2.31462574005   <-> 2.59554052353   || 0
ze              | de              | 2.71612858772   <-> 2.56539845467   || 1
de              | mentale         | 9.70036506653   <-> 9.4188747406    || 1
mentale         | druk            | 7.0305480957    <-> 6.30008602142   || 1
druk            | die             | 5.25849151611   <-> 5.46464776993   || 0
die             | golf            | 11.918428421    <-> 12.3617048264   || 0
golf            | op              | 3.52750110626   <-> 3.62107586861   || 0
op              | hen             | 6.41474580765   <-> 6.41771173477   || 0
hen             | legt            | 7.58168125153   <-> 8.02219295502   || 0
legt            | de              | 4.31372880936   <-> 3.78506326675   || 1
de              | baas            | 7.18053388596   <-> 6.81319713593   || 1
baas            | kunnen          | 6.73246192932   <-> 8.74939155579   || 0
kunnen          | </s>            | 3.06228113174   <-> 3.05008411407   || 1
<s>             | dat             | 3.49826812744   <-> 3.52183961868   || 0
dat             | ze              | 4.8536195755    <-> 5.24387931824   || 0
ze              | dat             | 5.34498548508   <-> 4.84691333771   || 1
dat             | niet            | 3.38142561913   <-> 3.11066842079   || 1
niet            | zouden          | 6.11254787445   <-> 6.26090288162   || 0
zouden          | moeten          | 4.39946842194   <-> 3.70654940605   || 1
moeten          | bewijzen        | 6.15207099915   <-> 6.0303850174    || 1
bewijzen        | als             | 4.27349281311   <-> 4.8600769043    || 0
als             | ze              | 2.9942419529    <-> 3.00994324684   || 0
ze              | geen            | 4.25035524368   <-> 4.22781896591   || 1
geen            | golf            | 9.69107246399   <-> 9.71696472168   || 0
golf            | speelden        | 8.24671554565   <-> 9.31177139282   || 0
speelden        | komt            | 6.36425685883   <-> 8.03621768951   || 0
komt            | niet            | 3.20279288292   <-> 2.76194143295   || 1
niet            | in              | 3.17365431786   <-> 2.78007459641   || 1
in              | hen             | 7.44694662094   <-> 8.28880310059   || 0
hen             | op              | 4.19817876816   <-> 4.27712917328   || 0
op              | </s>            | 2.35259270668   <-> 2.40018558502   || 0
<s>             | het             | 2.64124774933   <-> 2.8288359642    || 0
het             | is              | 1.64368116856   <-> 1.72738516331   || 0
is              | algemeen        | 9.33135128021   <-> 8.81381130219   || 1
algemeen        | geweten         | 7.12625741959   <-> 7.15279150009   || 0
geweten         | dat             | 0.889784693718  <-> 1.06753492355   || 0
dat             | echte           | 9.73954772949   <-> 9.40185642242   || 1
echte           | <UNK>           | 2.06830072403   <-> 2.41981291771   || 0
<UNK>           | gaan            | 7.9443655014    <-> 7.59172725677   || 1
gaan            | werken          | 5.61337995529   <-> 5.4456205368    || 1
werken          | om              | 3.73947238922   <-> 4.02180671692   || 0
om              | wat             | 5.23755455017   <-> 6.15357303619   || 0
wat             | ontspanning     | 10.3731718063   <-> 11.1509017944   || 0
ontspanning     | te              | 0.414881706238  <-> 0.767528116703  || 0
te              | vinden          | 4.03010177612   <-> 3.61540770531   || 1
vinden          | </s>            | 0.562617957592  <-> 0.5164026618    || 1
<s>             | en              | 3.98174095154   <-> 3.7182199955    || 1
en              | de              | 2.83536481857   <-> 2.46660614014   || 1
de              | befaamde        | 9.77153778076   <-> 10.2948942184   || 0
befaamde        | auteur          | 6.27128696442   <-> 5.49742126465   || 1
auteur          | P               | 8.92623329163   <-> 9.27219486237   || 0
P               | G               | 7.1448507309    <-> 5.5324382782    || 1
G               | <UNK>           | 1.75512933731   <-> 2.48690056801   || 0
<UNK>           | schreef         | 6.16069126129   <-> 5.70490980148   || 1
schreef         | ooit            | 7.2085018158    <-> 7.14986610413   || 1
ooit            | </s>            | 3.94643688202   <-> 2.77696657181   || 1
<s>             | hij             | 3.24039411545   <-> 3.56940889359   || 0
hij             | genoot          | 8.16709327698   <-> 7.46074867249   || 1
genoot          | van             | 3.64751791954   <-> 3.67554211617   || 0
van             | een             | 2.08295202255   <-> 2.31904315948   || 0
een             | volmaakte       | 10.369140625    <-> 9.77516555786   || 1
volmaakte       | rust            | 9.59539794922   <-> 9.60101890564   || 0
rust            | zoals           | 6.06730556488   <-> 5.58334922791   || 1
zoals           | die             | 4.22024059296   <-> 4.74580287933   || 0
die             | alleen          | 6.81405544281   <-> 7.4120759964    || 0
alleen          | voorkomt        | 9.529047966     <-> 10.1739807129   || 0
voorkomt        | bij             | 4.66248083115   <-> 4.89221048355   || 0
bij             | mensen          | 6.58168315887   <-> 7.03676891327   || 0
mensen          | die             | 2.43216753006   <-> 1.95981967449   || 1
die             | net             | 6.631690979     <-> 6.64903974533   || 0
net             | het             | 5.05703449249   <-> 4.95266199112   || 1
het             | golf            | 12.2716579437   <-> 12.143371582    || 1
golf            | hebben          | 3.69723510742   <-> 3.17697668076   || 1
hebben          | opgegeven       | 8.38005447388   <-> 8.2136592865    || 1
opgegeven       | </s>            | 0.639497578144  <-> 0.769005298615  || 0
<s>             | in              | 3.22366380692   <-> 3.35478925705   || 0
in              | dat             | 5.58653402328   <-> 5.58898162842   || 0
dat             | stadium         | 8.52783203125   <-> 7.60191631317   || 1
stadium         | was             | 3.35581064224   <-> 3.27716827393   || 1
was             | <UNK>           | 4.02497529984   <-> 3.97269392014   || 1
<UNK>           | dus             | 6.45811605453   <-> 6.52115631104   || 0
dus             | niet            | 2.87797808647   <-> 2.66080522537   || 1
niet            | </s>            | 3.12706947327   <-> 3.05411434174   || 1
<s>             | een             | 3.51488256454   <-> 3.64279747009   || 0
een             | lucide          | 10.9170570374   <-> 11.0528888702   || 0
lucide          | Britse          | 8.34917163849   <-> 8.01057529449   || 1
Britse          | verslaggever    | 10.0952148438   <-> 9.19190979004   || 1
verslaggever    | beweerde        | 8.6962223053    <-> 8.74755859375   || 0
beweerde        | dat             | 1.52337825298   <-> 1.08213591576   || 1
dat             | de              | 1.70382499695   <-> 1.49065959454   || 1
de              | Spanjaard       | 9.34065818787   <-> 9.23513889313   || 1
Spanjaard       | het             | 3.50660562515   <-> 3.41795945168   || 1
het             | slachtoffer     | 4.98348617554   <-> 4.89511299133   || 1
slachtoffer     | was             | 2.7860159874    <-> 2.81926059723   || 0
was             | geworden        | 4.87119722366   <-> 5.65849494934   || 0
geworden        | van             | 3.43431472778   <-> 2.47145438194   || 1
van             | zijn            | 3.49347686768   <-> 3.20926189423   || 1
zijn            | eigen           | 4.0007019043    <-> 3.98688483238   || 1
eigen           | rijkdom         | 8.70930290222   <-> 8.83605194092   || 0
rijkdom         | </s>            | 0.754214882851  <-> 0.955694437027  || 0
<s>             | want            | 6.09739685059   <-> 6.37856626511   || 0
want            | had             | 8.73078536987   <-> 7.7280626297    || 1
had             | hij             | 2.17761421204   <-> 1.76142406464   || 1
hij             | zoals           | 8.25796031952   <-> 7.77695989609   || 1
zoals           | ik              | 3.92348575592   <-> 4.99704027176   || 0
ik              | in              | 3.43242883682   <-> 3.4881234169    || 0
in              | een             | 2.45060348511   <-> 2.68027377129   || 0
een             | van             | 5.00353145599   <-> 4.78467226028   || 1
van             | de              | 1.07471847534   <-> 0.872515320778  || 1
de              | goedkope        | 10.4840183258   <-> 10.8261585236   || 0
goedkope        | <UNK>           | 1.85775244236   <-> 1.81768906116   || 1
<UNK>           | rond            | 7.04797410965   <-> 7.39031171799   || 0
rond            | </s>            | 4.34926843643   <-> 5.201359272     || 0
<s>             | <UNK>           | 3.41990828514   <-> 3.29413557053   || 1
<UNK>           | moeten          | 7.21733951569   <-> 7.20520019531   || 1
moeten          | logeren         | 10.0864105225   <-> 10.3514213562   || 0
logeren         | dan             | 4.84766387939   <-> 4.82187795639   || 1
dan             | had             | 6.04063987732   <-> 6.22652006149   || 0
had             | de              | 2.20065498352   <-> 2.02647399902   || 1
de              | muur            | 8.15400886536   <-> 7.91778564453   || 1
muur            | omver           | 11.6319274902   <-> 11.95337677     || 0
omver           | gelegen         | 8.33723449707   <-> 7.84645795822   || 1
gelegen         | en              | 2.41669940948   <-> 2.49617671967   || 0
en              | had             | 5.83204841614   <-> 5.64456319809   || 1
had             | zijn            | 4.9048614502    <-> 4.68596696854   || 1
zijn            | hand            | 6.83134078979   <-> 6.76776599884   || 1
hand            | hooguit         | 10.680721283    <-> 11.4168224335   || 0
hooguit         | een             | 2.1638045311    <-> 1.94370961189   || 1
een             | <UNK>           | 1.95405828953   <-> 2.49918007851   || 0
<UNK>           | vertoond        | 8.80010890961   <-> 9.70680427551   || 0
vertoond        | </s>            | 0.770721793175  <-> 0.668597042561  || 1
<s>             | Spaanse         | 10.2947864532   <-> 10.4930667877   || 0
Spaanse         | reporters       | 9.80650138855   <-> 9.07207393646   || 1
reporters       | schreven        | 7.7380065918    <-> 7.10533189774   || 1
schreven        | opgelucht       | 10.5346164703   <-> 9.14654445648   || 1
opgelucht       | dat             | 2.89061927795   <-> 2.41028356552   || 1
dat             | <UNK>           | 3.80672645569   <-> 3.67984652519   || 1
<UNK>           | nu              | 5.58565998077   <-> 5.99918699265   || 0
nu              | eindelijk       | 7.07552289963   <-> 7.1556224823    || 0
eindelijk       | eens            | 4.43396615982   <-> 5.09222412109   || 0
eens            | over            | 5.62062263489   <-> 5.1265745163    || 1
over            | een             | 2.58186292648   <-> 2.4167881012    || 1
een             | ander           | 5.53767681122   <-> 5.41463041306   || 1
ander           | <UNK>           | 2.38636636734   <-> 2.56104111671   || 0
<UNK>           | kon             | 5.49215984344   <-> 5.23534250259   || 1
kon             | klagen          | 9.37809562683   <-> 9.31788730621   || 1
klagen          | dan             | 4.46961975098   <-> 5.42760753632   || 0
dan             | over            | 5.96913051605   <-> 5.08686256409   || 1
over            | zijn            | 3.5291249752    <-> 3.37658834457   || 1
zijn            | voet            | 8.30283355713   <-> 8.31133270264   || 0
voet            | waarmee         | 7.76843547821   <-> 8.14491844177   || 0
waarmee         | hij             | 2.03775644302   <-> 1.79871952534   || 1
hij             | jaren           | 9.04892158508   <-> 9.3768196106    || 0
jaren           | op              | 3.92801880836   <-> 3.19314599037   || 1
op              | de              | 1.5428763628    <-> 1.27884936333   || 1
de              | sukkel          | 8.77341651917   <-> 7.12173175812   || 1
sukkel          | was             | 3.03257966042   <-> 2.68072319031   || 1
was             | </s>            | 0.761859178543  <-> 0.746179163456  || 1
<s>             | <UNK>           | 3.08876037598   <-> 3.22296619415   || 0
<UNK>           | heeft           | 3.58345389366   <-> 3.89250302315   || 0
heeft           | trouwens        | 7.13601970673   <-> 6.96239805222   || 1
trouwens        | minder          | 6.54514884949   <-> 6.90473604202   || 0
minder          | redenen         | 7.52268981934   <-> 8.08456993103   || 0
redenen         | tot             | 4.97203111649   <-> 5.31935787201   || 0
tot             | klagen          | 12.2001342773   <-> 11.7782783508   || 1
klagen          | dan             | 4.46448278427   <-> 5.02129793167   || 0
dan             | de              | 2.22120165825   <-> 2.09955143929   || 1
de              | meesten         | 7.31183052063   <-> 8.51797485352   || 0
meesten         | van             | 2.09532475471   <-> 1.91952681541   || 1
van             | ons             | 5.48244380951   <-> 5.53883075714   || 0
ons             | want            | 7.94841003418   <-> 7.87203598022   || 1
want            | hij             | 3.64185118675   <-> 3.72250747681   || 0
hij             | won             | 7.20693206787   <-> 6.73525094986   || 1
won             | in              | 2.76708936691   <-> 2.82129573822   || 0
in              | de              | 1.18759131432   <-> 1.29350531101   || 0
de              | lente           | 6.64400577545   <-> 6.33117008209   || 1
lente           | van             | 1.18354058266   <-> 1.31728863716   || 0
van             | dit             | 4.91504859924   <-> 4.51445627213   || 1
dit             | jaar            | 0.698171854019  <-> 0.493639886379  || 1
jaar            | de              | 2.97132539749   <-> 3.3848285675    || 0
de              | Masters         | 9.08424377441   <-> 8.87597560883   || 1
Masters         | op              | 3.40079784393   <-> 4.26606607437   || 0
op              | <UNK>           | 3.11142444611   <-> 3.24921584129   || 0
<UNK>           | </s>            | 1.07798218727   <-> 0.946289360523  || 1
<s>             | wat             | 5.61051511765   <-> 5.4814248085    || 1
wat             | John            | 9.71602058411   <-> 9.24583816528   || 1
John            | </s>            | 6.00921440125   <-> 5.68029785156   || 1
<s>             | <UNK>           | 2.87951517105   <-> 2.7967247963    || 1
<UNK>           | op              | 4.79962825775   <-> 4.76066160202   || 1
op              | dat             | 5.66089057922   <-> 5.01591300964   || 1
dat             | moment          | 1.52005469799   <-> 1.89931356907   || 0
moment          | onbewust        | 11.6663560867   <-> 11.5573863983   || 1
onbewust        | van             | 3.78703427315   <-> 4.06659412384   || 0
van             | het             | 2.136510849     <-> 2.24176120758   || 0
het             | bestaan         | 7.92322349548   <-> 7.55445957184   || 1
bestaan         | van             | 1.06333625317   <-> 1.05594027042   || 1
van             | het             | 2.17643928528   <-> 2.14472842216   || 1
het             | woord           | 5.69165229797   <-> 5.88246440887   || 0
woord           | <UNK>           | 2.08998703957   <-> 2.42942285538   || 0
<UNK>           | deed            | 8.02898788452   <-> 6.61646699905   || 1
deed            | opmerken        | 12.1406898499   <-> 11.7538824081   || 1
opmerken        | </s>            | 1.26065278053   <-> 2.00091195107   || 0
<s>             | mocht           | 8.939453125     <-> 8.665184021     || 1
mocht           | ik              | 2.36790657043   <-> 2.55362200737   || 0
ik              | de              | 2.86563205719   <-> 2.79161739349   || 1
de              | Masters         | 10.338133812    <-> 10.1316423416   || 1
Masters         | gewonnen        | 7.810338974     <-> 7.62742424011   || 1
gewonnen        | hebben          | 2.34406375885   <-> 2.23331737518   || 1
hebben          | ik              | 7.42398309708   <-> 7.08029747009   || 1
ik              | sloeg           | 8.85008049011   <-> 7.88088798523   || 1
sloeg           | de              | 2.8098347187    <-> 2.80782389641   || 1
de              | rest            | 6.10121917725   <-> 5.85931110382   || 1
rest            | van             | 0.685021877289  <-> 0.741998255253  || 0
van             | het             | 2.10338592529   <-> 1.85506916046   || 1
het             | jaar            | 5.32189559937   <-> 3.96690011024   || 1
jaar            | op              | 3.1303935051    <-> 2.92333459854   || 1
op              | geen            | 6.93381690979   <-> 7.02493095398   || 0
geen            | enkele          | 4.57397651672   <-> 3.5711555481    || 1
enkele          | muur            | 8.44169616699   <-> 8.22389125824   || 1
muur            | </s>            | 0.840926647186  <-> 0.817030668259  || 1
<s>             | het             | 2.89617967606   <-> 2.94359493256   || 0
het             | slaan           | 10.9405212402   <-> 10.9201450348   || 1
slaan           | op              | 3.60931396484   <-> 3.38797259331   || 1
op              | muren           | 10.4070615768   <-> 10.499294281    || 0
muren           | zou             | 8.41628265381   <-> 8.89550876617   || 0
zou             | moeten          | 7.09519958496   <-> 5.95561218262   || 1
moeten          | worden          | 2.86126279831   <-> 3.12859916687   || 0
worden          | voorbehouden    | 10.2298231125   <-> 9.24402999878   || 1
voorbehouden    | aan             | 3.47214579582   <-> 3.44492936134   || 1
aan             | mensen          | 6.5851931572    <-> 6.50761699677   || 1
mensen          | die             | 2.07147121429   <-> 1.81557619572   || 1
die             | de              | 2.58151054382   <-> 2.5957608223    || 0
de              | Masters         | 10.5805568695   <-> 11.1158657074   || 0
Masters         | nog             | 4.98118305206   <-> 4.88739728928   || 1
nog             | niet            | 2.47711181641   <-> 2.38635778427   || 1
niet            | gewonnen        | 7.80511760712   <-> 6.94218444824   || 1
gewonnen        | hebben          | 1.7774746418    <-> 1.56595575809   || 1
hebben          | </s>            | 0.544961333275  <-> 0.466083467007  || 1
<s>             | <UNK>           | 3.21768260002   <-> 3.11613893509   || 1
<UNK>           | wist            | 7.56192016602   <-> 7.55929470062   || 1
wist            | waarover        | 9.50027275085   <-> 9.03628063202   || 1
waarover        | hij             | 2.20265293121   <-> 2.15424895287   || 1
hij             | sprak           | 10.0424051285   <-> 9.57046031952   || 1
sprak           | want            | 7.29263734818   <-> 6.41465520859   || 1
want            | hij             | 3.2400970459    <-> 3.15536975861   || 1
hij             | vernielde       | 12.5858306885   <-> 12.6756029129   || 0
vernielde       | in              | 3.49094557762   <-> 3.48279809952   || 1
in              | buien           | 14.1537618637   <-> 14.3765096664   || 0
buien           | van             | 2.65114355087   <-> 3.98145365715   || 0
van             | dronken         | 11.1449956894   <-> 9.61449050903   || 1
dronken         | woede           | 9.19978809357   <-> 8.97880935669   || 1
woede           | al              | 6.1024312973    <-> 6.34924268723   || 0
al              | twee            | 5.14881563187   <-> 5.54677343369   || 0
twee            | keer            | 3.17879581451   <-> 2.90978240967   || 1
keer            | zijn            | 5.51088476181   <-> 5.49196052551   || 1
zijn            | eigen           | 4.81037998199   <-> 4.90268945694   || 0
eigen           | huis            | 6.17262077332   <-> 4.8181643486    || 1
huis            | een             | 4.44937229156   <-> 3.55813360214   || 1
een             | keer            | 5.88853406906   <-> 6.15992259979   || 0
keer            | dat             | 4.37095928192   <-> 3.96685147285   || 1
dat             | van             | 5.43534088135   <-> 5.39945697784   || 1
van             | een             | 2.53918910027   <-> 2.43571281433   || 1
een             | buur            | 10.073264122    <-> 9.42934513092   || 1
buur            | en              | 3.34818840027   <-> 3.46335744858   || 0
en              | tussendoor      | 9.43395614624   <-> 9.44669437408   || 0
tussendoor      | ook             | 4.66024875641   <-> 3.94979333878   || 1
ook             | een             | 2.49674654007   <-> 2.14557027817   || 1
een             | auto            | 7.01114273071   <-> 5.33348083496   || 1
auto            | of              | 5.10744571686   <-> 4.99637365341   || 1
of              | vijf            | 6.22203922272   <-> 6.6312713623    || 0
vijf            | </s>            | 4.42742443085   <-> 3.74047470093   || 1
<s>             | de              | 2.21585941315   <-> 2.0514113903    || 1
de              | Masters         | 9.5794506073    <-> 10.8635816574   || 0
Masters         | van             | 2.90870761871   <-> 2.44786906242   || 1
van             | dit             | 5.5698261261    <-> 5.72231483459   || 0
dit             | jaar            | 1.09416592121   <-> 1.35375547409   || 0
jaar            | betekenden      | 11.9640464783   <-> 11.2599210739   || 1
betekenden      | voor            | 4.73457956314   <-> 4.56326627731   || 1
voor            | <UNK>           | 3.06254959106   <-> 2.98716855049   || 1
<UNK>           | de              | 2.8819873333    <-> 2.95222687721   || 0
de              | definitieve     | 8.96505069733   <-> 8.68899059296   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 7.67633914948   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.12164068222   || 0
aan             | de              | 1.15630125999   <-> 0.987519443035  || 1
de              | top             | 5.65077781677   <-> 6.30476045609   || 0
top             | </s>            | 2.11021351814   <-> 1.74490189552   || 1
<s>             | de              | 1.9533905983    <-> 1.79707622528   || 1
de              | Spanjaard       | 6.84248924255   <-> 6.72326469421   || 1
Spanjaard       | ook             | 7.26819133759   <-> 7.68780088425   || 0
ook             | al              | 4.83883953094   <-> 4.26560497284   || 1
al              | winnaar         | 8.99768733978   <-> 9.49308395386   || 0
winnaar         | van             | 1.91338086128   <-> 1.11888456345   || 1
van             | het             | 2.37690067291   <-> 2.12419176102   || 1
het             | befaamde        | 8.27149772644   <-> 7.87283229828   || 1
befaamde        | groene          | 9.61242580414   <-> 9.82935523987   || 0
groene          | jasje           | 9.43173217773   <-> 8.18642711639   || 1
jasje           | in              | 3.10358071327   <-> 2.81666445732   || 1
in              | negentien       | 3.62931489944   <-> 4.27429199219   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.0182601138949 || 0
honderd         | vier-en         | 2.73439955711   <-> 2.23778367043   || 1
vier-en         | negentig        | 0.837672531605  <-> 0.774146258831  || 1
negentig        | komma           | 3.51524019241   <-> 3.04488992691   || 1
komma           | heeft           | 5.62657928467   <-> 5.33242082596   || 1
heeft           | jaren           | 9.09579563141   <-> 9.37712669373   || 0
jaren           | van             | 4.49076414108   <-> 4.93932247162   || 0
van             | <UNK>           | 2.65946674347   <-> 2.5131957531    || 1
<UNK>           | achter          | 7.30720901489   <-> 8.04008388519   || 0
achter          | de              | 1.15856039524   <-> 0.93681204319   || 1
