input           | target          | original0       <-> cbow_mean_lstm0 || best model: 0:first, 1:second
rest            | van             | 0.685021877289  <-> 0.646422386169  || 1
van             | het             | 2.10338592529   <-> 1.87554740906   || 1
het             | jaar            | 5.32189559937   <-> 4.43227386475   || 1
jaar            | op              | 3.1303935051    <-> 3.07104277611   || 1
op              | geen            | 6.93381690979   <-> 6.66777801514   || 1
geen            | enkele          | 4.57397651672   <-> 3.79368185997   || 1
enkele          | muur            | 8.44169616699   <-> 8.76022148132   || 0
muur            | </s>            | 0.840926647186  <-> 0.919226050377  || 0
<s>             | het             | 2.89617967606   <-> 2.9305331707    || 0
het             | slaan           | 10.9405212402   <-> 10.5070772171   || 1
slaan           | op              | 3.60931396484   <-> 3.27779626846   || 1
op              | muren           | 10.4070615768   <-> 11.2153491974   || 0
muren           | zou             | 8.41628265381   <-> 8.64775753021   || 0
zou             | moeten          | 7.09519958496   <-> 5.91759681702   || 1
moeten          | worden          | 2.86126279831   <-> 3.18112945557   || 0
worden          | voorbehouden    | 10.2298231125   <-> 9.76132392883   || 1
voorbehouden    | aan             | 3.47214579582   <-> 2.71225810051   || 1
aan             | mensen          | 6.5851931572    <-> 6.40491104126   || 1
mensen          | die             | 2.07147121429   <-> 2.05017566681   || 1
die             | de              | 2.58151054382   <-> 2.54040336609   || 1
de              | Masters         | 10.5805568695   <-> 10.4107894897   || 1
Masters         | nog             | 4.98118305206   <-> 4.69545173645   || 1
nog             | niet            | 2.47711181641   <-> 2.61212015152   || 0
niet            | gewonnen        | 7.80511760712   <-> 7.88295936584   || 0
gewonnen        | hebben          | 1.7774746418    <-> 1.65561306477   || 1
hebben          | </s>            | 0.544961333275  <-> 0.491502523422  || 1
<s>             | <UNK>           | 3.21768260002   <-> 3.18822336197   || 1
<UNK>           | wist            | 7.56192016602   <-> 6.73768138885   || 1
wist            | waarover        | 9.50027275085   <-> 9.73235321045   || 0
waarover        | hij             | 2.20265293121   <-> 2.07451248169   || 1
hij             | sprak           | 10.0424051285   <-> 9.64548397064   || 1
sprak           | want            | 7.29263734818   <-> 6.06085395813   || 1
want            | hij             | 3.2400970459    <-> 3.27210450172   || 0
hij             | vernielde       | 12.5858306885   <-> 13.1021766663   || 0
vernielde       | in              | 3.49094557762   <-> 3.4455537796    || 1
in              | buien           | 14.1537618637   <-> 13.8498067856   || 1
buien           | van             | 2.65114355087   <-> 3.84078025818   || 0
van             | dronken         | 11.1449956894   <-> 11.3492412567   || 0
dronken         | woede           | 9.19978809357   <-> 9.05709838867   || 1
woede           | al              | 6.1024312973    <-> 6.38226890564   || 0
al              | twee            | 5.14881563187   <-> 5.29072666168   || 0
twee            | keer            | 3.17879581451   <-> 2.95335912704   || 1
keer            | zijn            | 5.51088476181   <-> 5.07405281067   || 1
zijn            | eigen           | 4.81037998199   <-> 4.83665370941   || 0
eigen           | huis            | 6.17262077332   <-> 6.10611534119   || 1
huis            | een             | 4.44937229156   <-> 4.25067806244   || 1
een             | keer            | 5.88853406906   <-> 5.98750162125   || 0
keer            | dat             | 4.37095928192   <-> 4.34462547302   || 1
dat             | van             | 5.43534088135   <-> 4.87306213379   || 1
van             | een             | 2.53918910027   <-> 2.62280082703   || 0
een             | buur            | 10.073264122    <-> 9.82964706421   || 1
buur            | en              | 3.34818840027   <-> 3.3922290802    || 0
en              | tussendoor      | 9.43395614624   <-> 9.5372877121    || 0
tussendoor      | ook             | 4.66024875641   <-> 4.19513940811   || 1
ook             | een             | 2.49674654007   <-> 2.25390791893   || 1
een             | auto            | 7.01114273071   <-> 6.3143491745    || 1
auto            | of              | 5.10744571686   <-> 5.51895141602   || 0
of              | vijf            | 6.22203922272   <-> 6.63218736649   || 0
vijf            | </s>            | 4.42742443085   <-> 4.39946508408   || 1
<s>             | de              | 2.21585941315   <-> 2.22708511353   || 0
de              | Masters         | 9.5794506073    <-> 9.77843856812   || 0
Masters         | van             | 2.90870761871   <-> 2.57772064209   || 1
van             | dit             | 5.5698261261    <-> 5.34925889969   || 1
dit             | jaar            | 1.09416592121   <-> 1.23469531536   || 0
jaar            | betekenden      | 11.9640464783   <-> 11.659948349    || 1
betekenden      | voor            | 4.73457956314   <-> 4.56879138947   || 1
voor            | <UNK>           | 3.06254959106   <-> 3.39751768112   || 0
<UNK>           | de              | 2.8819873333    <-> 2.85947775841   || 1
de              | definitieve     | 8.96505069733   <-> 8.72430229187   || 1
definitieve     | terugkeer       | 8.3738527298    <-> 7.81843233109   || 1
terugkeer       | aan             | 3.45638513565   <-> 4.83027982712   || 0
aan             | de              | 1.15630125999   <-> 0.982910394669  || 1
de              | top             | 5.65077781677   <-> 6.0834941864    || 0
top             | </s>            | 2.11021351814   <-> 0.942692160606  || 1
<s>             | de              | 1.9533905983    <-> 2.03537988663   || 0
de              | Spanjaard       | 6.84248924255   <-> 7.21146202087   || 0
Spanjaard       | ook             | 7.26819133759   <-> 7.44032764435   || 0
ook             | al              | 4.83883953094   <-> 4.42372655869   || 1
al              | winnaar         | 8.99768733978   <-> 9.96504402161   || 0
winnaar         | van             | 1.91338086128   <-> 1.60070049763   || 1
van             | het             | 2.37690067291   <-> 2.0814704895    || 1
het             | befaamde        | 8.27149772644   <-> 8.26405143738   || 1
befaamde        | groene          | 9.61242580414   <-> 8.89041042328   || 1
groene          | jasje           | 9.43173217773   <-> 8.47256088257   || 1
jasje           | in              | 3.10358071327   <-> 2.98517560959   || 1
in              | negentien       | 3.62931489944   <-> 4.09307289124   || 0
negentien       | honderd         | 0.0064818141982 <-> 0.00562702957541 || 1
honderd         | vier-en         | 2.73439955711   <-> 2.1791138649    || 1
vier-en         | negentig        | 0.837672531605  <-> 0.609483897686  || 1
negentig        | komma           | 3.51524019241   <-> 3.06150484085   || 1
komma           | heeft           | 5.62657928467   <-> 4.5245475769    || 1
heeft           | jaren           | 9.09579563141   <-> 10.0434570312   || 0
jaren           | van             | 4.49076414108   <-> 4.20719480515   || 1
van             | <UNK>           | 2.65946674347   <-> 3.49293851852   || 0
<UNK>           | achter          | 7.30720901489   <-> 7.45541381836   || 0
achter          | de              | 1.15856039524   <-> 1.13772428036   || 1
de              | rug             | 4.0231180191    <-> 2.69411873817   || 1
rug             | </s>            | 1.79736876488   <-> 0.855446577072  || 1
<s>             | oorzaak         | 10.9862480164   <-> 11.0124034882   || 0
oorzaak         | van             | 1.23921585083   <-> 0.614826500416  || 1
van             | dat             | 5.88789463043   <-> 5.51879358292   || 1
dat             | alles           | 6.07289457321   <-> 5.09675264359   || 1
alles           | </s>            | 3.31787180901   <-> 2.78182458878   || 1
<s>             | zijn            | 4.86222267151   <-> 5.19115209579   || 0
zijn            | tenen           | 9.11949157715   <-> 9.87449741364   || 0
tenen           | </s>            | 3.08282756805   <-> 3.55640006065   || 0
<s>             | men             | 7.49837970734   <-> 7.17641639709   || 1
men             | kan             | 3.64465641975   <-> 3.8573346138    || 0
kan             | het             | 3.37154746056   <-> 2.94134402275   || 1
het             | vanuit          | 8.68105888367   <-> 8.09684371948   || 1
vanuit          | twee            | 5.1534781456    <-> 5.51571941376   || 0
twee            | <UNK>           | 3.66102862358   <-> 3.75688767433   || 0
<UNK>           | bekijken        | 7.01997327805   <-> 7.2899055481    || 0
bekijken        | </s>            | 0.552473366261  <-> 0.600241184235  || 0
<s>             | een             | 3.50027704239   <-> 3.52057600021   || 0
een             | van             | 4.11967134476   <-> 3.54063391685   || 1
van             | de              | 0.940377354622  <-> 0.872698664665  || 1
de              | tenen           | 10.7287874222   <-> 10.3329782486   || 1
tenen           | van             | 2.00223374367   <-> 1.66642355919   || 1
van             | zijn            | 3.77207994461   <-> 3.64006948471   || 1
zijn            | rechtervoet     | 11.2749834061   <-> 9.35097694397   || 1
rechtervoet     | was             | 3.66857767105   <-> 3.76876068115   || 0
was             | te              | 5.67240715027   <-> 5.26111841202   || 1
te              | lang            | 4.99927330017   <-> 4.20865631104   || 1
lang            | of              | 5.59437513351   <-> 6.11242675781   || 0
of              | vier            | 7.47712755203   <-> 7.65144920349   || 0
vier            | van             | 4.3149356842    <-> 3.68858289719   || 1
van             | de              | 1.27140808105   <-> 1.40649271011   || 0
de              | tenen           | 10.322353363    <-> 10.5018215179   || 0
tenen           | van             | 2.13400411606   <-> 1.62093031406   || 1
van             | zijn            | 3.8205575943    <-> 3.87597703934   || 0
zijn            | rechtervoet     | 11.2796344757   <-> 9.37905502319   || 1
rechtervoet     | waren           | 9.05664253235   <-> 8.28565597534   || 1
waren           | te              | 4.88770866394   <-> 5.25877904892   || 0
te              | kort            | 6.2590970993    <-> 6.17687034607   || 1
kort            | </s>            | 1.10241448879   <-> 1.77276587486   || 0
<s>             | dit             | 5.53546714783   <-> 5.31679725647   || 1
dit             | lijkt           | 4.63207244873   <-> 4.92507457733   || 0
lijkt           | hetzelfde       | 7.87753915787   <-> 7.74330806732   || 1
hetzelfde       | maar            | 3.6200928688    <-> 3.75114417076   || 0
maar            | is              | 4.78546905518   <-> 4.5287194252    || 1
is              | het             | 2.25560092926   <-> 2.44794797897   || 0
het             | niet            | 2.51742172241   <-> 3.0418639183    || 0
niet            | </s>            | 2.34264969826   <-> 2.72012615204   || 0
<s>             | in              | 3.40923929214   <-> 3.30364751816   || 1
in              | de              | 1.16503989697   <-> 1.20736467838   || 0
de              | eerste          | 3.17881178856   <-> 2.8145301342    || 1
eerste          | optiek          | 11.1943473816   <-> 10.1956291199   || 1
optiek          | opereert        | 11.5267019272   <-> 11.5464258194   || 0
opereert        | men             | 5.56022930145   <-> 5.26191568375   || 1
men             | één           | 6.65780067444   <-> 6.4016327858    || 1
één           | teen            | 10.4026517868   <-> 11.477312088    || 0
teen            | door            | 5.07860326767   <-> 5.77147483826   || 0
door            | er              | 7.14582252502   <-> 6.68101501465   || 1
er              | een             | 2.9222240448    <-> 2.55434083939   || 1
een             | stuk            | 5.26984500885   <-> 5.43123960495   || 0
stuk            | af              | 5.36290454865   <-> 5.4598608017    || 0
af              | te              | 1.67568981647   <-> 2.34424710274   || 0
te              | zagen           | 9.119181633     <-> 8.96903800964   || 1
zagen           | </s>            | 0.650932133198  <-> 0.66006487608   || 0
<s>             | in              | 3.03750514984   <-> 3.28347802162   || 0
in              | de              | 1.14108252525   <-> 1.21178078651   || 0
de              | tweede          | 4.26096630096   <-> 4.03042316437   || 1
tweede          | optiek          | 11.6724462509   <-> 10.4436607361   || 1
optiek          | opereert        | 11.3934106827   <-> 11.5480718613   || 0
opereert        | men             | 5.81659555435   <-> 5.06240797043   || 1
men             | vier            | 6.95865058899   <-> 6.99629926682   || 0
vier            | tenen           | 12.0229635239   <-> 11.5390348434   || 1
tenen           | door            | 5.187541008     <-> 5.04473733902   || 1
door            | er              | 7.41223430634   <-> 6.47750806808   || 1
er              | een             | 3.07904195786   <-> 2.58164715767   || 1
een             | stuk            | 5.28120613098   <-> 5.49187421799   || 0
stuk            | bij             | 5.10493755341   <-> 4.89014148712   || 1
bij             | te              | 3.71422767639   <-> 2.88889527321   || 1
te              | kleven          | 8.82188415527   <-> 8.24781608582   || 1
kleven          | </s>            | 0.454741954803  <-> 0.531630992889  || 0
<s>             | als             | 3.98150634766   <-> 4.23751544952   || 0
als             | het             | 2.70615673065   <-> 2.57835531235   || 1
het             | kan             | 6.41368293762   <-> 5.88654327393   || 1
kan             | voor            | 4.57471942902   <-> 5.13926458359   || 0
voor            | het             | 2.15823698044   <-> 2.14579224586   || 1
het             | ding            | 8.94631958008   <-> 7.7559709549    || 1
ding            | dan             | 5.43412685394   <-> 5.38325548172   || 1
dan             | ook             | 3.87766432762   <-> 3.41919159889   || 1
ook             | voor            | 4.75838756561   <-> 4.37485694885   || 1
voor            | tenen           | 12.3216514587   <-> 12.7620859146   || 0
tenen           | </s>            | 3.27903366089   <-> 1.75241243839   || 1
<s>             | <UNK>           | 3.1929666996    <-> 2.85499310493   || 1
<UNK>           | koos            | 7.90973186493   <-> 7.6958823204    || 1
koos            | voor            | 3.4993159771    <-> 2.38593888283   || 1
voor            | de              | 1.42037582397   <-> 1.39708590508   || 1
de              | eerste          | 4.25582313538   <-> 3.84024620056   || 1
eerste          | methode         | 8.60768318176   <-> 8.6514005661    || 0
methode         | en              | 3.47983551025   <-> 3.27272081375   || 1
en              | dacht           | 8.16986274719   <-> 9.37623214722   || 0
dacht           | dit             | 5.56470966339   <-> 5.33756351471   || 1
dit             | in              | 3.65505003929   <-> 3.72976708412   || 0
in              | het             | 2.03658986092   <-> 1.89291167259   || 1
het             | tussenseizoen   | 9.01055335999   <-> 7.92805480957   || 1
tussenseizoen   | gauw            | 10.6746387482   <-> 11.1568231583   || 0
gauw            | even            | 5.67351341248   <-> 5.78371047974   || 0
even            | te              | 3.6081867218    <-> 4.29305839539   || 0
te              | laten           | 4.67908477783   <-> 5.31060600281   || 0
laten           | <UNK>           | 4.26268625259   <-> 3.92704296112   || 1
<UNK>           | </s>            | 0.712673485279  <-> 0.764622449875  || 0
<s>             | weekje          | 15.2415599823   <-> 14.0303688049   || 1
weekje          | of              | 5.96307420731   <-> 5.81410598755   || 1
of              | drie            | 6.4215927124    <-> 6.00333738327   || 1
drie            | inactiviteit    | 11.9630355835   <-> 11.9315242767   || 1
inactiviteit    | had             | 5.67290353775   <-> 6.02658987045   || 0
had             | de              | 2.14886856079   <-> 1.9931885004    || 1
de              | chirurg         | 9.77689266205   <-> 10.2888822556   || 0
chirurg         | hem             | 5.53137207031   <-> 5.97402095795   || 0
hem             | verteld         | 6.60745477676   <-> 7.02295303345   || 0
verteld         | </s>            | 0.893388807774  <-> 1.15731430054   || 0
<s>             | het             | 2.85978198051   <-> 2.84883260727   || 1
het             | optimisme       | 9.66396617889   <-> 9.1765537262    || 1
optimisme       | van             | 1.64461064339   <-> 1.65092325211   || 0
van             | de              | 1.09189653397   <-> 1.00522518158   || 1
de              | chirurg         | 9.99074363708   <-> 10.3173599243   || 0
chirurg         | wordt           | 4.43412303925   <-> 4.28171825409   || 1
wordt           | veeleer         | 8.63830375671   <-> 8.25329971313   || 1
veeleer         | bepaald         | 6.72909593582   <-> 6.80705738068   || 0
bepaald         | door            | 3.05246257782   <-> 1.9436519146    || 1
door            | de              | 1.19689846039   <-> 1.1093776226    || 1
de              | stand           | 8.2211265564    <-> 8.29335021973   || 0
stand           | van             | 1.04443573952   <-> 0.652290821075  || 1
van             | zijn            | 3.64379262924   <-> 3.61133813858   || 1
zijn            | bankrekening    | 8.82584190369   <-> 8.52787208557   || 1
bankrekening    | dan             | 5.72494316101   <-> 6.09290027618   || 0
dan             | door            | 5.50315237045   <-> 5.86840248108   || 0
door            | wetenschappelijk | 10.2699899673   <-> 10.5673151016   || 0
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 5.39658212662   || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 7.30061769485   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 1.04874181747   || 0
<s>             | twee            | 6.33663082123   <-> 6.37239265442   || 0
twee            | jaar            | 2.46537542343   <-> 2.62163639069   || 0
jaar            | lang            | 4.38011455536   <-> 3.61457204819   || 1
lang            | kon             | 5.45491123199   <-> 5.03854036331   || 1
kon             | <UNK>           | 4.39452934265   <-> 3.85236930847   || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 7.68741416931   || 1
nauwelijks      | stappen         | 7.94340705872   <-> 8.74010181427   || 0
stappen         | </s>            | 1.82533192635   <-> 1.40567207336   || 1
<s>             | en              | 4.00813388824   <-> 3.84870028496   || 1
en              | dat             | 2.87408471107   <-> 2.8434650898    || 1
dat             | is              | 1.82655930519   <-> 1.62098360062   || 1
is              | in              | 3.85210323334   <-> 3.89303565025   || 0
in              | golf            | 12.3708496094   <-> 12.9635696411   || 0
golf            | een             | 4.63177061081   <-> 4.11045122147   || 1
een             | fatale          | 9.56700992584   <-> 9.66599464417   || 0
fatale          | handicap        | 7.79643535614   <-> 8.51344680786   || 0
handicap        | aangezien       | 9.82438278198   <-> 9.53129196167   || 1
aangezien       | één           | 7.48195934296   <-> 7.27678394318   || 1
één           | rondje          | 11.5680971146   <-> 10.8202180862   || 1
rondje          | van             | 3.84357595444   <-> 3.90495848656   || 0
van             | achttien        | 7.00368738174   <-> 7.21336174011   || 0
achttien        | holes           | 12.8574590683   <-> 10.9926834106   || 1
holes           | makkelijk       | 10.3047142029   <-> 8.86964225769   || 1
makkelijk       | zeven           | 8.8553647995    <-> 8.48769187927   || 1
zeven           | kilometer       | 4.21092653275   <-> 4.8872628212    || 0
kilometer       | bedraagt        | 7.60011720657   <-> 9.17344093323   || 0
bedraagt        | en              | 3.16815185547   <-> 2.8184876442    || 1
en              | een             | 3.03854513168   <-> 3.19908738136   || 0
een             | toernooi        | 10.8307285309   <-> 10.8807106018   || 0
toernooi        | vier            | 7.50992298126   <-> 7.88611364365   || 0
vier            | rondjes         | 10.6407260895   <-> 9.64931488037   || 1
rondjes         | van             | 3.91817951202   <-> 3.54415082932   || 1
van             | achttien        | 6.57913303375   <-> 6.06945705414   || 1
achttien        | holes           | 12.7465114594   <-> 11.020318985    || 1
holes           | </s>            | 1.63304495811   <-> 0.849481165409  || 1
<s>             | tenzij          | 9.53739738464   <-> 9.12998485565   || 1
tenzij          | je              | 3.23516225815   <-> 3.56137156487   || 0
je              | zoals           | 7.52048873901   <-> 7.24644088745   || 1
zoals           | Nick            | 10.2033481598   <-> 10.2191524506   || 0
Nick            | <UNK>           | 1.36875653267   <-> 1.34225189686   || 1
<UNK>           | de              | 2.72600412369   <-> 3.17641115189   || 0
de              | cut             | 12.4476604462   <-> 11.8234004974   || 1
cut             | niet            | 4.9752702713    <-> 5.34390735626   || 0
niet            | meer            | 3.5691318512    <-> 3.81380987167   || 0
meer            | overleeft       | 9.84622764587   <-> 9.40189743042   || 1
overleeft       | </s>            | 1.77189326286   <-> 0.919348418713  || 1
<s>             | <UNK>           | 3.02815723419   <-> 2.6243596077    || 1
<UNK>           | kreeg           | 6.26706552505   <-> 5.89140558243   || 1
kreeg           | van             | 4.89323139191   <-> 4.71347618103   || 1
van             | de              | 1.23630857468   <-> 1.52259910107   || 0
de              | Royal           | 8.48195075989   <-> 9.02599811554   || 0
Royal           | and             | 9.14627170563   <-> 7.25232934952   || 1
and             | <UNK>           | 1.00547063351   <-> 1.32586669922   || 0
<UNK>           | de              | 2.84650087357   <-> 2.72803640366   || 1
de              | hoogste         | 7.11290931702   <-> 6.74158477783   || 1
hoogste         | <UNK>           | 1.61399185658   <-> 1.61604332924   || 0
<UNK>           | die             | 3.36067914963   <-> 3.08160495758   || 1
die             | huist           | 12.2577238083   <-> 12.3021068573   || 0
huist           | in              | 2.28136444092   <-> 2.08455705643   || 1
in              | het             | 2.12585139275   <-> 1.90143072605   || 1
het             | Schotse         | 7.91819763184   <-> 7.69279098511   || 1
Schotse         | <UNK>           | 1.32601594925   <-> 1.16452205181   || 1
<UNK>           | geen            | 8.05988883972   <-> 7.73123025894   || 1
geen            | toestemming     | 8.42955780029   <-> 8.79227256775   || 0
toestemming     | om              | 2.83463764191   <-> 3.254519701     || 0
om              | zich            | 4.27716398239   <-> 4.12010240555   || 1
zich            | met             | 3.67360067368   <-> 3.91206741333   || 0
met             | een             | 1.74010384083   <-> 1.75168907642   || 0
een             | karretje        | 11.2865428925   <-> 10.2297296524   || 1
karretje        | door            | 4.92384243011   <-> 5.37797546387   || 0
door            | de              | 1.63564407825   <-> 1.98257851601   || 0
de              | toernooien      | 12.6028862      <-> 12.2854766846   || 1
toernooien      | van             | 2.32933521271   <-> 2.56697463989   || 0
van             | de              | 1.04829752445   <-> 0.96238386631   || 1
de              | Europese        | 5.82099294662   <-> 5.78291416168   || 1
Europese        | <UNK>           | 1.921017766     <-> 2.12908577919   || 0
<UNK>           | te              | 1.67819845676   <-> 0.901672363281  || 1
te              | verplaatsen     | 6.81029367447   <-> 6.29627466202   || 1
verplaatsen     | </s>            | 0.300492346287  <-> 0.278632462025  || 1
<s>             | wat             | 5.71319103241   <-> 5.46835517883   || 1
wat             | hij             | 3.63964438438   <-> 3.72767448425   || 0
hij             | wel             | 5.51980495453   <-> 5.87057209015   || 0
wel             | kreeg           | 6.51576519012   <-> 6.71619033813   || 0
kreeg           | was             | 3.43510293961   <-> 4.0503911972    || 0
was             | een             | 2.22494029999   <-> 2.33839988708   || 0
een             | aanval          | 8.56018924713   <-> 7.56689405441   || 1
aanval          | van             | 2.39128756523   <-> 2.16620397568   || 1
van             | artritis        | 12.9600992203   <-> 12.9938650131   || 0
artritis        | een             | 4.28375530243   <-> 4.64566373825   || 0
een             | aanzet          | 9.23271751404   <-> 9.36116027832   || 0
aanzet          | tot             | 3.50319051743   <-> 1.92653203011   || 1
tot             | <UNK>           | 2.461830616     <-> 2.83775877953   || 0
<UNK>           | een             | 4.48643398285   <-> 4.63780117035   || 0
een             | depressie       | 9.00370979309   <-> 8.625623703     || 1
depressie       | en              | 2.62071657181   <-> 2.48644113541   || 1
en              | een             | 2.38599491119   <-> 2.57277536392   || 0
een             | plaatsje        | 7.63789892197   <-> 7.79763698578   || 0
plaatsje        | in              | 2.28542518616   <-> 2.20969033241   || 1
in              | de              | 1.1620759964    <-> 1.16651296616   || 0
de              | grauwe          | 10.2060174942   <-> 9.6519908905    || 1
grauwe          | middenmoot      | 10.1832418442   <-> 8.40313720703   || 1
middenmoot      | </s>            | 0.681290328503  <-> 0.504742562771  || 1
<s>             | dat             | 3.89798116684   <-> 3.99499416351   || 0
dat             | stelde          | 7.96910429001   <-> 7.7365732193    || 1
stelde          | een             | 2.77285003662   <-> 3.05082941055   || 0
een             | extra           | 7.08047294617   <-> 7.20761060715   || 0
extra           | probleem        | 6.87107133865   <-> 7.24181222916   || 0
probleem        | voor            | 2.60854935646   <-> 2.47468209267   || 1
voor            | zijn            | 3.83436179161   <-> 3.86581277847   || 0
zijn            | landgenoot      | 7.96433544159   <-> 6.60296535492   || 1
landgenoot      | <UNK>           | 1.99541091919   <-> 2.47149634361   || 0
<UNK>           | <UNK>           | 1.91029763222   <-> 1.78783094883   || 1
<UNK>           | die             | 3.30207562447   <-> 3.72789525986   || 0
die             | twee            | 5.92310237885   <-> 5.78850269318   || 1
twee            | jaar            | 2.48247337341   <-> 2.32646465302   || 1
jaar            | geleden         | 0.715930461884  <-> 1.27740120888   || 0
geleden         | captain         | 14.7736110687   <-> 15.2782917023   || 0
captain         | was             | 3.78480315208   <-> 3.71141338348   || 1
was             | van             | 3.73430633545   <-> 2.97231769562   || 1
van             | de              | 1.18614912033   <-> 1.13009011745   || 1
de              | Europese        | 5.55273532867   <-> 5.84685897827   || 0
Europese        | ploeg           | 6.68596363068   <-> 5.6270570755    || 1
ploeg           | voor            | 4.17409420013   <-> 4.45424127579   || 0
voor            | de              | 0.971541702747  <-> 1.04715907574   || 0
de              | Ryder           | 12.7288560867   <-> 12.4856500626   || 1
Ryder           | Cup             | 5.77059936523   <-> 2.2737622261    || 1
Cup             | de              | 4.52915477753   <-> 4.86301803589   || 0
de              | tweejaarlijkse  | 9.97623920441   <-> 10.0804862976   || 0
tweejaarlijkse  | ontmoeting      | 8.96566772461   <-> 9.16299819946   || 0
ontmoeting      | tussen          | 2.5935382843    <-> 1.89472067356   || 1
tussen          | Amerika         | 7.67044401169   <-> 7.92233705521   || 0
Amerika         | en              | 1.00869905949   <-> 0.550323605537  || 1
en              | Europa          | 6.57818841934   <-> 5.48098039627   || 1
Europa          | </s>            | 0.600054383278  <-> 0.50513792038   || 1
<s>             | met             | 4.65609836578   <-> 4.53551197052   || 1
met             | voorsprong      | 10.5163516998   <-> 9.8905248642    || 1
voorsprong      | het             | 6.52677726746   <-> 5.87934017181   || 1
het             | belangrijkste   | 6.74014902115   <-> 6.38816261292   || 1
belangrijkste   | toernooi        | 9.46043395996   <-> 8.02466201782   || 1
toernooi        | in              | 2.67163276672   <-> 2.87877130508   || 0
in              | het             | 2.37168312073   <-> 2.0323677063    || 1
het             | internationale  | 7.60614585876   <-> 7.09314155579   || 1
internationale  | golf            | 11.134935379    <-> 11.2934083939   || 0
golf            | </s>            | 3.54217934608   <-> 2.96805405617   || 1
<s>             | er              | 4.70186281204   <-> 4.32921504974   || 1
er              | wordt           | 3.18857836723   <-> 2.62416648865   || 1
wordt           | wisselend       | 12.1429347992   <-> 11.1096353531   || 1
wisselend       | gespeeld        | 6.40888690948   <-> 5.50374603271   || 1
gespeeld        | in              | 2.48607587814   <-> 2.40845036507   || 1
in              | Europa          | 5.83965730667   <-> 4.58215856552   || 1
Europa          | en              | 2.51659727097   <-> 2.17033195496   || 1
en              | Amerika         | 7.51908159256   <-> 7.11859130859   || 1
Amerika         | </s>            | 1.32664442062   <-> 1.16654849052   || 1
<s>             | in              | 3.05780506134   <-> 3.17312645912   || 0
in              | Europa          | 5.36949825287   <-> 4.5060043335    || 1
Europa          | is              | 2.30986976624   <-> 2.25600910187   || 1
is              | het             | 1.83301091194   <-> 1.62330806255   || 1
het             | altijd          | 6.25949287415   <-> 6.16968154907   || 1
altijd          | in              | 3.28075051308   <-> 3.4356777668    || 0
in              | </s>            | 6.8258099556    <-> 5.49613571167   || 1
<s>             | Groot-Brittannië | 9.05839633942   <-> 8.99167060852   || 1
Groot-Brittannië | te              | 7.39029169083   <-> 7.72181987762   || 0
te              | doen            | 4.66644382477   <-> 4.74274253845   || 0
doen            | behalve         | 8.96350860596   <-> 9.2956533432    || 0
behalve         | twee            | 5.43679094315   <-> 5.17722797394   || 1
twee            | jaar            | 3.14444088936   <-> 2.81563329697   || 1
jaar            | geleden         | 1.00610101223   <-> 1.90785837173   || 0
geleden         | </s>            | 2.17714071274   <-> 1.89948427677   || 1
<s>             | toen            | 5.58054685593   <-> 5.84077548981   || 0
toen            | werd            | 5.07631111145   <-> 5.03275299072   || 1
werd            | voor            | 5.53336954117   <-> 5.73548364639   || 0
voor            | het             | 2.40348148346   <-> 2.07418751717   || 1
het             | eerst           | 1.82074117661   <-> 2.32926392555   || 0
eerst           | een             | 2.41600131989   <-> 2.11663627625   || 1
een             | uitzondering    | 7.82986450195   <-> 7.50100469589   || 1
uitzondering    | gemaakt         | 4.03034543991   <-> 3.87013721466   || 1
gemaakt         | en              | 3.54271101952   <-> 3.62690901756   || 0
en              | had             | 5.05499744415   <-> 5.36643218994   || 0
had             | de              | 1.83287858963   <-> 1.74110603333   || 1
de              | Ryder           | 13.1010370255   <-> 12.8518352509   || 1
Ryder           | Cup             | 9.33024215698   <-> 5.06835126877   || 1
Cup             | plaats          | 7.7570066452    <-> 6.83169174194   || 1
plaats          | op              | 2.33004426956   <-> 3.10707902908   || 0
op              | de              | 1.0871707201    <-> 1.18021559715   || 0
de              | baan            | 6.91418743134   <-> 6.42921972275   || 1
baan            | van             | 2.20904636383   <-> 1.5784393549    || 1
van             | </s>            | 7.18993759155   <-> 5.76202821732   || 1
<s>             | bij             | 4.90858507156   <-> 4.91457271576   || 0
bij             | <UNK>           | 3.0974342823    <-> 2.98112392426   || 1
<UNK>           | in              | 3.50557637215   <-> 3.61058521271   || 0
in              | de              | 1.18913245201   <-> 1.29353487492   || 0
de              | achtertuin      | 9.85795307159   <-> 9.64142799377   || 1
achtertuin      | </s>            | 3.5014705658    <-> 3.47743272781   || 1
<s>             | <UNK>           | 2.94782853127   <-> 3.21415662766   || 0
<UNK>           | in              | 3.47399759293   <-> 3.70121264458   || 0
in              | het             | 2.50705218315   <-> 2.23567008972   || 1
het             | team            | 7.05309057236   <-> 6.96418333054   || 1
team            | of              | 6.0436964035    <-> 6.08220672607   || 0
of              | niet            | 5.89813756943   <-> 6.743060112     || 0
niet            | dat             | 4.03240299225   <-> 3.36434388161   || 1
dat             | scheelde        | 12.956076622    <-> 12.0670099258   || 1
scheelde        | een             | 2.50790214539   <-> 2.76013016701   || 0
